osmid,y,x,street_count,highway,ref,railway,geometry
6316199,52.3701725,4.8883961,3,,,,POINT (4.8883961 52.3701725)
25596477,52.367,4.9060967,1,,,,POINT (4.9060967 52.367)
25658579,52.3645365,4.9304247,1,,,,POINT (4.9304247 52.3645365)
26203121,52.3641748,4.8652527,3,,,,POINT (4.8652527 52.3641748)
26206556,52.3634245,4.872947,3,,,,POINT (4.872947 52.3634245)
26371846,52.3610688,4.8629607,3,,,,POINT (4.8629607 52.3610688)
26371856,52.360384,4.8633406,3,,,,POINT (4.8633406 52.360384)
26585460,52.3762329,4.8784032,3,,,,POINT (4.8784032 52.3762329)
26586128,52.3762979,4.8781251,3,,,,POINT (4.8781251 52.3762979)
26596415,52.3699052,4.9187544,2,,,,POINT (4.9187544 52.3699052)
27219290,52.3553456,4.8620141,4,,,,POINT (4.8620141 52.3553456)
27471866,52.3683124,4.8671902,4,,,,POINT (4.8671902 52.3683124)
27471867,52.3682789,4.8681892,4,,,,POINT (4.8681892 52.3682789)
27561854,52.3563873,4.8546809,4,,,,POINT (4.8546809 52.3563873)
28265319,52.3590055,4.8820125,2,,,,POINT (4.8820125 52.3590055)
29529317,52.3661088,4.9322833,3,,,,POINT (4.9322833 52.3661088)
30138383,52.3863548,4.8674833,3,,,,POINT (4.8674833 52.3863548)
30154649,52.360292,4.9419624,4,,,,POINT (4.9419624 52.360292)
30154650,52.3605162,4.9435819,3,,,,POINT (4.9435819 52.3605162)
30167794,52.3921353,4.8487062,1,,,,POINT (4.8487062 52.3921353)
30210570,52.3393228,4.8472123,1,,,,POINT (4.8472123 52.3393228)
30210617,52.3388902,4.8487304,1,,,,POINT (4.8487304 52.3388902)
30731909,52.3528861,4.8641125,3,,,,POINT (4.8641125 52.3528861)
30731914,52.3527407,4.863553,3,,,,POINT (4.863553 52.3527407)
30813410,52.3443249,4.887301,1,,,,POINT (4.887301 52.3443249)
31008901,52.3928824,4.8727582,3,,,,POINT (4.8727582 52.3928824)
31240616,52.3658461,4.8557157,3,,,,POINT (4.8557157 52.3658461)
31240619,52.365783,4.8549659,3,,,,POINT (4.8549659 52.365783)
31240665,52.3600249,4.8579027,4,,,,POINT (4.8579027 52.3600249)
31240666,52.3595136,4.8594366,3,,,,POINT (4.8594366 52.3595136)
31240668,52.3591046,4.8571429,4,,,,POINT (4.8571429 52.3591046)
31296271,52.3618431,4.8500332,2,,,,POINT (4.8500332 52.3618431)
46219852,52.3344086,4.9229834,3,,,,POINT (4.9229834 52.3344086)
46220123,52.3344404,4.9228334,4,,,,POINT (4.9228334 52.3344404)
46229854,52.336234,4.8900174,4,,,,POINT (4.8900174 52.336234)
46231627,52.3365072,4.9124469,4,,,,POINT (4.9124469 52.3365072)
46232278,52.336734,4.9061019,3,,,,POINT (4.9061019 52.336734)
46232672,52.3370855,4.9113237,3,,,,POINT (4.9113237 52.3370855)
46233137,52.3368296,4.910577,3,,,,POINT (4.910577 52.3368296)
46235165,52.3374778,4.9123675,3,,,,POINT (4.9123675 52.3374778)
46237572,52.3377336,4.92712,3,,,,POINT (4.92712 52.3377336)
46237650,52.3377902,4.9094174,3,,,,POINT (4.9094174 52.3377902)
46238866,52.3381843,4.9215626,4,,,,POINT (4.9215626 52.3381843)
46238998,52.3382255,4.9216631,4,,,,POINT (4.9216631 52.3382255)
46239222,52.3381519,4.901611,3,,,,POINT (4.901611 52.3381519)
46239336,52.3381673,4.8989972,3,,,,POINT (4.8989972 52.3381673)
46239813,52.3382086,4.9434344,3,,,,POINT (4.9434344 52.3382086)
46240346,52.3383429,4.9398381,4,,,,POINT (4.9398381 52.3383429)
46240581,52.3384003,4.942367,3,,,,POINT (4.942367 52.3384003)
46241205,52.3385413,4.941574,3,,,,POINT (4.941574 52.3385413)
46241345,52.3385777,4.9449975,3,,,,POINT (4.9449975 52.3385777)
46241640,52.3387051,4.9436538,3,,,,POINT (4.9436538 52.3387051)
46242138,52.338795,4.9436959,3,,,,POINT (4.9436959 52.338795)
46242315,52.3388772,4.8964818,3,,,,POINT (4.8964818 52.3388772)
46242348,52.338803,4.9457635,3,,,,POINT (4.9457635 52.338803)
46242385,52.3389753,4.8922708,4,,,,POINT (4.8922708 52.3389753)
