u,v,key,osmid,highway,lanes,maxspeed,name,ref,oneway,reversed,length,geometry,Inverse SP,Cost of return,Edge Betweenness,bridge,tunnel,access,junction,Groups
68147058,69555000,0,"[1314618235, 1042138564, 74847327]",trunk,"['4', '5']",35 mph,Moreland Avenue Northeast,US 23;GA 42,False,False,291.42470608307127,"LINESTRING (-84.3492193 33.7623362, -84.3492182 33.7623802, -84.3492171 33.7626116, -84.3492163 33.7627763, -84.3492145 33.7631451, -84.3492143 33.7631849, -84.3492126 33.7635534, -84.3492123 33.7636258, -84.3492106 33.7639731, -84.3492092 33.7642789, -84.3492071 33.7644916, -84.3492057 33.7646405, -84.3492069 33.7647572, -84.3492063 33.7648871, -84.349206 33.764957)",291.42470608307127,1.6766944123149323,0.0094106333700489,,,,,A
68147058,2511829141,0,591826247,trunk,2,35 mph,Moreland Avenue Northeast,US 23;GA 42,True,False,18.20554680150257,"LINESTRING (-84.3492193 33.7623362, -84.3492798 33.7622405, -84.3492813 33.7621849)",584.3001880604713,10.066740437243231,0.0127352372785596,,,,,A
68147083,2511829139,0,9164434,trunk_link,1,,,,True,False,217.49760532675097,"LINESTRING (-84.3489307 33.7604903, -84.34893 33.7607199, -84.3489036 33.7609267, -84.3488537 33.7611406, -84.3487917 33.7613068, -84.3486894 33.7614978, -84.3486291 33.7617266, -84.3486455 33.761821, -84.3487439 33.7619455, -84.3488394 33.7620018, -84.3489517 33.7620254, -84.3490272 33.762053, -84.3490934 33.7620909, -84.3491722 33.7621791)",385.0081295352229,13.6240002581018,0.0012104006201214,,,,,A
68147084,1400950462,0,563542877,secondary,3,35 mph,Dekalb Avenue Northeast,,False,False,28.57367052778343,"LINESTRING (-84.3488601 33.7602763, -84.3485793 33.7603837)",28.57367052778343,1.2129639456215815,0.0013238418623072,,,,,B
68147084,5649592816,0,591826254,secondary,,35 mph,Dekalb Avenue Northeast,,False,True,6.028290594084685,"LINESTRING (-84.3488601 33.7602763, -84.3489179 33.7602512)",6.028290594084685,1.7184750889877256,0.0014137772615175,,,,,B
68147084,68147083,0,563542878,trunk_link,,,,,True,False,24.86467034566244,"LINESTRING (-84.3488601 33.7602763, -84.3489062 33.7603724, -84.3489149 33.7603905, -84.3489307 33.7604903)",577.6410645163114,15.236193644367557,0.0011545516990876,,,,,A
68147089,2511829126,0,9164438,trunk_link,,,,,True,False,209.9962350705844,"LINESTRING (-84.3491721 33.761836, -84.3490929 33.7619019, -84.3490501 33.761923, -84.3490149 33.7619328, -84.3489258 33.7619457, -84.3488498 33.7619369, -84.3487942 33.7618939, -84.3487498 33.761829, -84.3487318 33.7617842, -84.348723 33.7617423, -84.3487234 33.7617054, -84.3487234 33.7616625, -84.3487366 33.7616315, -84.348918 33.76124, -84.3489753 33.7611079, -84.349009 33.7609586, -84.3490245 33.7608027, -84.3490329 33.760685, -84.3490154 33.7604277)",1046.7513517236498,14.646603455867956,0.0012025853782114,,,,,A
68147089,2511829139,0,46226097,trunk,2,35 mph,Moreland Avenue Northeast,US 23;GA 42,True,False,38.15680859094228,"LINESTRING (-84.3491721 33.761836, -84.349169 33.7620878, -84.3491722 33.7621791)",837.1515221219871,10.100524077664598,0.0106857201462869,,,,,A
68168787,2496218306,0,9166649,residential,,,Ripplewater Drive Southeast,,False,False,113.65410698189476,"LINESTRING (-84.3437785 33.7196092, -84.344259 33.719981, -84.344568 33.720134, -84.3447508 33.7202249)",113.65410698189476,1.210972720707006,0.0002451581269919,,,,,C
68168807,2496218306,0,9166649,residential,,,Ripplewater Drive Southeast,,False,True,459.8446896500575,"LINESTRING (-84.346282 33.72381, -84.346317 33.722364, -84.346349 33.721894, -84.346286 33.721608, -84.346206 33.7214, -84.3461605 33.7213106, -84.346121 33.721233, -84.345903 33.721012, -84.3458858 33.7209989, -84.345392 33.720622, -84.3453604 33.7206012, -84.345089 33.720423, -84.344773 33.720236, -84.3447508 33.7202249)",459.8446896500575,1.45044436994157,0.0007351136775029,,,,,C
68168807,68212082,0,9170578,residential,,,Sky Haven Road Southeast,,False,False,192.53397836733427,"LINESTRING (-84.346282 33.72381, -84.3457983 33.7238051, -84.345189 33.723799, -84.3450311 33.7238068, -84.3449192 33.7238057, -84.3446103 33.7238026, -84.3442006 33.7237985)",192.5339783673343,1.3567502822814743,0.0002716698322404,,,,,C
68168807,69499973,0,9170578,residential,,,Sky Haven Road Southeast,,False,True,291.5485730615856,"LINESTRING (-84.346282 33.72381, -84.346586 33.723812, -84.348493 33.723824, -84.3488257 33.7238187, -84.3491878 33.7238128, -84.3493367 33.7238105, -84.3494342 33.723809)",291.54857306158567,1.5156711642050729,0.001228856614478,,,,,C
68168815,68168817,0,9166652,residential,,,Iverson Street Northeast,,False,False,112.02704411671736,"LINESTRING (-84.345525 33.762905, -84.344327 33.763057)",112.02704411671736,1.242146021490737,0.0002451581269919,,,,,C
68168815,68250906,0,9172979,residential,,,Candler Street Northeast,,False,False,223.95531370268264,"LINESTRING (-84.345525 33.762905, -84.3455455 33.7648667, -84.345546 33.764919)",223.95531370268264,1.4700661024729316,0.0003365363400933,,,,,C
68168815,68196571,0,9172979,residential,,,Candler Street Northeast,,False,True,204.3732357593638,"LINESTRING (-84.345525 33.762905, -84.3455301 33.7624211, -84.3455347 33.7619821, -84.3455364 33.7618201, -84.3455389 33.7615848, -84.3455392 33.7615603, -84.3455435 33.7611431, -84.3455443 33.7610671)",204.3732357593638,1.4578430406598872,0.0004245479874489,,,,,C
68168817,68168815,0,9166652,residential,,,Iverson Street Northeast,,False,True,112.02704411671736,"LINESTRING (-84.344327 33.763057, -84.345525 33.762905)",112.02704411671736,1.2421460214907365,0.0002451581269919,,,,,C
68169062,68169066,0,9166684,residential,,,Chalmette Drive Northeast,,False,False,113.54602161135708,"LINESTRING (-84.3453433 33.7857208, -84.344631 33.7857764, -84.3441213 33.7858261)",113.54602161135708,1.2561070391159457,0.0002451581269919,,,,,C
68169062,68200552,0,9172430,residential,,,Hancock Drive Northeast,,False,False,275.2979936509383,"LINESTRING (-84.3453433 33.7857208, -84.3453808 33.7858908, -84.3454338 33.7860516, -84.3454965 33.7862216, -84.3455571 33.7863476, -84.345639 33.7864866, -84.3457527 33.7866741, -84.3458712 33.7868911, -84.3459378 33.7870079, -84.3459973 33.7871014, -84.3460527 33.7871814, -84.3461226 33.7872664, -84.3461873 33.7873308, -84.3462721 33.7873961, -84.3463442 33.7874411, -84.3464199 33.7874743, -84.3464719 33.7874929, -84.3465397 33.7875093, -84.3466463 33.7875259, -84.3467537 33.7875354, -84.3468606 33.7875396, -84.3469674 33.7875418)",275.2979936509382,1.5568492621083618,2.0079159984133856e-05,,,,,C
