osmid,y,x,street_count,highway,ref,junction,geometry
68147058,33.7623362,-84.3492193,3,,,,POINT (-84.3492193 33.7623362)
68147083,33.7604903,-84.3489307,3,,,,POINT (-84.3489307 33.7604903)
68147084,33.7602763,-84.3488601,3,traffic_signals,,,POINT (-84.3488601 33.7602763)
68147089,33.761836,-84.3491721,3,,,,POINT (-84.3491721 33.761836)
68168787,33.7196092,-84.3437785,3,,,,POINT (-84.3437785 33.7196092)
68168807,33.72381,-84.346282,3,,,,POINT (-84.346282 33.72381)
68168815,33.762905,-84.345525,3,,,,POINT (-84.345525 33.762905)
68168817,33.763057,-84.344327,3,,,,POINT (-84.344327 33.763057)
68169062,33.7857208,-84.3453433,3,,,,POINT (-84.3453433 33.7857208)
68169066,33.7858261,-84.3441213,3,,,,POINT (-84.3441213 33.7858261)
68174594,33.7303729,-84.3478744,3,,,,POINT (-84.3478744 33.7303729)
68174598,33.730348,-84.346751,1,,,,POINT (-84.346751 33.730348)
68175452,33.752417,-84.34816,3,,,,POINT (-84.34816 33.752417)
68175462,33.7519359,-84.3464073,3,,,,POINT (-84.3464073 33.7519359)
68175468,33.7516311,-84.3453953,3,,,,POINT (-84.3453953 33.7516311)
68175474,33.7515663,-84.3445661,3,,,,POINT (-84.3445661 33.7515663)
68178806,33.7727163,-84.3438751,3,,,,POINT (-84.3438751 33.7727163)
68186082,33.7357919,-84.3480704,4,,,,POINT (-84.3480704 33.7357919)
68186087,33.735785,-84.3475162,1,,,,POINT (-84.3475162 33.735785)
68186091,33.735774,-84.345846,3,,,,POINT (-84.345846 33.735774)
68188910,33.7483693,-84.3481657,4,,,,POINT (-84.3481657 33.7483693)
68188915,33.7486854,-84.3464563,4,,,,POINT (-84.3464563 33.7486854)
68188918,33.7487943,-84.3454261,4,,,,POINT (-84.3454261 33.7487943)
68188920,33.748931,-84.3445893,4,,,,POINT (-84.3445893 33.748931)
68188933,33.748504,-84.3481544,4,,,,POINT (-84.3481544 33.748504)
68188935,33.7486826,-84.3474929,3,,,,POINT (-84.3474929 33.7486826)
68188937,33.748815,-84.3464581,3,,,,POINT (-84.3464581 33.748815)
68190686,33.751015,-84.346424,3,,,,POINT (-84.346424 33.751015)
68190687,33.749588,-84.3464644,3,,,,POINT (-84.3464644 33.749588)
68190690,33.747573,-84.346464,3,,,,POINT (-84.346464 33.747573)
68191975,33.774449,-84.348957,3,,,,POINT (-84.348957 33.774449)
68191991,33.776301,-84.347981,3,,,,POINT (-84.347981 33.776301)
68191993,33.7770657,-84.3473631,3,,,,POINT (-84.3473631 33.7770657)
68192000,33.7787536,-84.3456065,3,,,,POINT (-84.3456065 33.7787536)
68192021,33.7830552,-84.3429211,3,traffic_signals,,,POINT (-84.3429211 33.7830552)
68192022,33.7836403,-84.3424609,3,traffic_signals,,,POINT (-84.3424609 33.7836403)
68192025,33.7845336,-84.3417312,4,,,,POINT (-84.3417312 33.7845336)
68194501,33.747559,-84.344349,3,,,,POINT (-84.344349 33.747559)
68194522,33.744453,-84.344343,4,,,,POINT (-84.344343 33.744453)
68194525,33.743608,-84.344365,3,,,,POINT (-84.344365 33.743608)
68194530,33.742674,-84.3443512,4,,,,POINT (-84.3443512 33.742674)
68194532,33.7409257,-84.3443651,3,,,,POINT (-84.3443651 33.7409257)
68194535,33.7401376,-84.3443615,3,,,,POINT (-84.3443615 33.7401376)
68196078,33.7401609,-84.3480214,3,,,,POINT (-84.3480214 33.7401609)
68196080,33.740154,-84.3468866,3,,,,POINT (-84.3468866 33.740154)
68196082,33.740149,-84.3458041,3,,,,POINT (-84.3458041 33.740149)
68196085,33.7401395,-84.345374,4,traffic_signals,,,POINT (-84.345374 33.7401395)
68196556,33.7601562,-84.3491224,4,traffic_signals,,,POINT (-84.3491224 33.7601562)
68196558,33.7605163,-84.3481783,3,,,,POINT (-84.3481783 33.7605163)
68196565,33.7608241,-84.3469284,3,,,,POINT (-84.3469284 33.7608241)
68196571,33.7610671,-84.3455443,3,,,,POINT (-84.3455443 33.7610671)
68196574,33.7614733,-84.3432857,3,,,,POINT (-84.3432857 33.7614733)
68197091,33.727641,-84.346765,4,,,,POINT (-84.346765 33.727641)
68198187,33.768031,-84.347177,3,,,,POINT (-84.347177 33.768031)
68198195,33.7679314,-84.3459573,3,,,,POINT (-84.3459573 33.7679314)
68199968,33.7422854,-84.3457995,3,,,,POINT (-84.3457995 33.7422854)
68200550,33.7875711,-84.3477441,3,,,,POINT (-84.3477441 33.7875711)
68200552,33.7875418,-84.3469674,3,,,,POINT (-84.3469674 33.7875418)
68205591,33.7475729,-84.3458382,3,,,,POINT (-84.3458382 33.7475729)
68205616,33.7463436,-84.3475836,1,,,,POINT (-84.3475836 33.7463436)
68208682,33.7425944,-84.347848,3,,,,POINT (-84.347848 33.7425944)
68210706,33.735185,-84.344707,3,,,,POINT (-84.344707 33.735185)
68211342,33.741898,-84.347193,4,,,,POINT (-84.347193 33.741898)
68211351,33.739632,-84.34473,3,,,,POINT (-84.34473 33.739632)
68212032,33.7443029,-84.3477187,1,,,,POINT (-84.3477187 33.7443029)
68212041,33.7435221,-84.3476946,3,,,,POINT (-84.3476946 33.7435221)
68212082,33.7237985,-84.3442006,3,,,,POINT (-84.3442006 33.7237985)
68212379,33.767198,-84.34697,3,,,,POINT (-84.34697 33.767198)
68212384,33.7680522,-84.3456582,3,,,,POINT (-84.3456582 33.7680522)
68212386,33.7682873,-84.3450454,3,,,,POINT (-84.3450454 33.7682873)
68212389,33.768445,-84.3446104,3,,,,POINT (-84.3446104 33.768445)
68212416,33.7712048,-84.3424758,4,stop,,,POINT (-84.3424758 33.7712048)
68214105,33.7534326,-84.3447134,3,,,,POINT (-84.3447134 33.7534326)
68214107,33.755415,-84.3446811,3,,,,POINT (-84.3446811 33.755415)
68219859,33.747568,-84.345445,3,,,,POINT (-84.345445 33.747568)
68225133,33.7771904,-84.3480786,3,,,,POINT (-84.3480786 33.7771904)
68225154,33.7797584,-84.3483385,4,,,,POINT (-84.3483385 33.7797584)
68225169,33.7837806,-84.3481451,4,,,,POINT (-84.3481451 33.7837806)
68225175,33.7853358,-84.34813,3,,,,POINT (-84.34813 33.7853358)
68238333,33.739049,-84.344733,3,,,,POINT (-84.344733 33.739049)
68238336,33.737937,-84.344706,3,,,,POINT (-84.344706 33.737937)
68238339,33.736907,-84.34473,3,,,,POINT (-84.34473 33.736907)
68238344,33.736359,-84.344739,3,,,,POINT (-84.344739 33.736359)
68238358,33.7340541,-84.3447266,4,,,,POINT (-84.3447266 33.7340541)
68238364,33.731931,-84.344758,4,,,,POINT (-84.344758 33.731931)
68238376,33.729238,-84.344719,4,,,,POINT (-84.344719 33.729238)
68238387,33.726055,-84.344748,3,,,,POINT (-84.344748 33.726055)
68242512,33.784752,-84.3453828,3,,,,POINT (-84.3453828 33.784752)
68243723,33.731792,-84.345921,3,,,,POINT (-84.345921 33.731792)
68243727,33.731918,-84.343591,4,,,,POINT (-84.343591 33.731918)
68249334,33.7533144,-84.3480765,3,,,,POINT (-84.3480765 33.7533144)
68249346,33.755436,-84.348278,3,,,,POINT (-84.348278 33.755436)
68250906,33.764919,-84.345546,3,,,,POINT (-84.345546 33.764919)
68250916,33.76898,-84.345113,3,,,,POINT (-84.345113 33.76898)
68250917,33.7700761,-84.3451948,1,,,,POINT (-84.3451948 33.7700761)
68250927,33.764919,-84.345764,3,,,,POINT (-84.345764 33.764919)
68265032,33.7689846,-84.3472001,3,,,,POINT (-84.3472001 33.7689846)
68272683,33.7329459,-84.3480374,4,,,,POINT (-84.3480374 33.7329459)
68272695,33.732922,-84.345838,3,,,,POINT (-84.345838 33.732922)
68280753,33.7751576,-84.3415508,4,traffic_signals,,,POINT (-84.3415508 33.7751576)
68282969,33.7390739,-84.3480474,4,,,,POINT (-84.3480474 33.7390739)
68282971,33.739056,-84.346868,3,,,,POINT (-84.346868 33.739056)
68282973,33.739043,-84.3458253,4,,,,POINT (-84.3458253 33.739043)
68294093,33.7534372,-84.3459016,3,,,,POINT (-84.3459016 33.7534372)
68297408,33.7493561,-84.3481669,4,,,,POINT (-84.3481669 33.7493561)
68297410,33.7493452,-84.3474812,3,,,,POINT (-84.3474812 33.7493452)
68297414,33.7495849,-84.3474801,3,,,,POINT (-84.3474801 33.7495849)
68307735,33.764959,-84.347029,3,,,,POINT (-84.347029 33.764959)
68307804,33.727641,-84.345931,3,,,,POINT (-84.345931 33.727641)
68307809,33.7260697,-84.34604,3,,,,POINT (-84.34604 33.7260697)
68307813,33.729256,-84.345946,3,,,,POINT (-84.345946 33.729256)
68307832,33.7340667,-84.3458388,4,,,,POINT (-84.3458388 33.7340667)
68307835,33.73692,-84.345858,4,,,,POINT (-84.345858 33.73692)
68307837,33.737968,-84.34586,3,,,,POINT (-84.34586 33.737968)
68310950,33.755426,-84.34585,4,,,,POINT (-84.34585 33.755426)
68313526,33.7738461,-84.3488524,3,,,,POINT (-84.3488524 33.7738461)
68313549,33.7747054,-84.3450617,4,traffic_signals,,,POINT (-84.3450617 33.7747054)
68315374,33.7340921,-84.348074,4,,,,POINT (-84.348074 33.7340921)
68317338,33.7502162,-84.3481474,3,,,,POINT (-84.3481474 33.7502162)
68317340,33.7502234,-84.3474853,3,,,,POINT (-84.3474853 33.7502234)
68324043,33.7319081,-84.3470978,1,turning_circle,,,POINT (-84.3470978 33.7319081)
68324050,33.7310069,-84.3478244,3,,,,POINT (-84.3478244 33.7310069)
68338944,33.7379759,-84.3480614,4,,,,POINT (-84.3480614 33.7379759)
68338947,33.7379894,-84.3472066,1,,,,POINT (-84.3472066 33.7379894)
68368967,33.751065,-84.347459,3,,,,POINT (-84.347459 33.751065)
68369689,33.751092,-84.348134,4,,,,POINT (-84.348134 33.751092)
68369691,33.7476098,-84.3481615,3,,,,POINT (-84.3481615 33.7476098)
68374063,33.764973,-84.348061,3,,,,POINT (-84.348061 33.764973)
68374066,33.7649516,-84.3468929,3,,,,POINT (-84.3468929 33.7649516)
68374068,33.764906,-84.344731,3,,,,POINT (-84.344731 33.764906)
68451487,33.7368889,-84.3480684,4,,,,POINT (-84.3480684 33.7368889)
68451500,33.7297769,-84.3478754,1,,,,POINT (-84.3478754 33.7297769)
69097091,33.765318,-84.391904,3,traffic_signals,,,POINT (-84.391904 33.765318)
69097092,33.765317,-84.393102,4,,,,POINT (-84.393102 33.765317)
69097094,33.7653268,-84.3945873,4,,,,POINT (-84.3945873 33.7653268)
69097096,33.7653314,-84.3953366,3,,,,POINT (-84.3953366 33.7653314)
69097099,33.765343,-84.396128,4,,,,POINT (-84.396128 33.765343)
69097101,33.765353,-84.39738,3,,,,POINT (-84.39738 33.765353)
69097198,33.7700437,-84.4084543,3,,,,POINT (-84.4084543 33.7700437)
69097208,33.7725083,-84.4081944,3,,,,POINT (-84.4081944 33.7725083)
69097367,33.728095,-84.39921,3,,,,POINT (-84.39921 33.728095)
69097370,33.728097,-84.400009,4,,,,POINT (-84.400009 33.728097)
69097372,33.728098,-84.400799,4,,,,POINT (-84.400799 33.728098)
69097374,33.728097,-84.401622,4,,,,POINT (-84.401622 33.728097)
69097376,33.728103,-84.402409,4,,,,POINT (-84.402409 33.728103)
69097379,33.728108,-84.403181,4,,,,POINT (-84.403181 33.728108)
69097381,33.728114,-84.403997,4,,,,POINT (-84.403997 33.728114)
69097384,33.72812,-84.40483,4,,,,POINT (-84.40483 33.72812)
69097386,33.728128,-84.405975,3,,,,POINT (-84.405975 33.728128)
69097388,33.728135,-84.406969,3,,,,POINT (-84.406969 33.728135)
69097390,33.728143,-84.407972,3,,,,POINT (-84.407972 33.728143)
69098973,33.789354,-84.382576,3,,,,POINT (-84.382576 33.789354)
69098997,33.788827,-84.382033,3,,,,POINT (-84.382033 33.788827)
69099064,33.7645998,-84.3564828,3,,,,POINT (-84.3564828 33.7645998)
69099107,33.7672881,-84.3585392,3,motorway_junction,,,POINT (-84.3585392 33.7672881)
69099533,33.7422785,-84.4032569,3,,,,POINT (-84.4032569 33.7422785)
69100804,33.7440747,-84.3582297,4,,,,POINT (-84.3582297 33.7440747)
69100806,33.7465985,-84.3581959,3,traffic_signals,,,POINT (-84.3581959 33.7465985)
69101388,33.764332,-84.355603,3,,,,POINT (-84.355603 33.764332)
69103508,33.7249591,-84.3939605,3,motorway_junction,244,,POINT (-84.3939605 33.7249591)
69103961,33.7428069,-84.3793206,4,,,,POINT (-84.3793206 33.7428069)
69103972,33.7432633,-84.3759952,3,,,,POINT (-84.3759952 33.7432633)
69105629,33.7449152,-84.3966014,3,motorway_junction,,,POINT (-84.3966014 33.7449152)
69105678,33.7427073,-84.3923384,3,,,,POINT (-84.3923384 33.7427073)
69105758,33.7398079,-84.3920909,3,,,,POINT (-84.3920909 33.7398079)
69105776,33.7419866,-84.3911083,3,motorway_junction,,,POINT (-84.3911083 33.7419866)
69105822,33.7435228,-84.3876208,3,,,,POINT (-84.3876208 33.7435228)
69105829,33.7467527,-84.3929542,3,,,,POINT (-84.3929542 33.7467527)
69105906,33.7419195,-84.3922396,3,traffic_signals,,,POINT (-84.3922396 33.7419195)
69105918,33.7431799,-84.4038111,3,,,,POINT (-84.4038111 33.7431799)
69108378,33.755678,-84.3782484,3,motorway_junction,248C,,POINT (-84.3782484 33.755678)
69111828,33.7463713,-84.3944372,3,,,,POINT (-84.3944372 33.7463713)
69111854,33.7458298,-84.3979882,4,,,,POINT (-84.3979882 33.7458298)
69112060,33.744082,-84.3874526,3,motorway_junction,56B,,POINT (-84.3874526 33.744082)
69112333,33.754208,-84.384559,4,,,,POINT (-84.384559 33.754208)
69112397,33.7606441,-84.3774314,3,,,,POINT (-84.3774314 33.7606441)
69112401,33.7599009,-84.37863,3,,,,POINT (-84.37863 33.7599009)
69112453,33.7575103,-84.3794559,3,,,,POINT (-84.3794559 33.7575103)
69112466,33.7536755,-84.3789379,3,,,,POINT (-84.3789379 33.7536755)
69112621,33.7562348,-84.3786174,3,,,,POINT (-84.3786174 33.7562348)
69112671,33.7609005,-84.382162,4,traffic_signals,,,POINT (-84.382162 33.7609005)
69112696,33.7593685,-84.3783507,4,,,,POINT (-84.3783507 33.7593685)
69112700,33.7597271,-84.3785247,3,,,,POINT (-84.3785247 33.7597271)
69112713,33.7601934,-84.379249,3,,,,POINT (-84.379249 33.7601934)
69112725,33.7609211,-84.3807131,3,motorway_junction,248D,,POINT (-84.3807131 33.7609211)
69115438,33.7413707,-84.4152348,3,,,,POINT (-84.4152348 33.7413707)
69115445,33.7411374,-84.4176082,4,,,,POINT (-84.4176082 33.7411374)
69115544,33.7287842,-84.3929045,3,motorway_junction,245,,POINT (-84.3929045 33.7287842)
69115569,33.7318082,-84.390918,4,,,,POINT (-84.390918 33.7318082)
69115671,33.7403707,-84.3934372,3,,,,POINT (-84.3934372 33.7403707)
69115677,33.7397967,-84.392404,3,,,,POINT (-84.392404 33.7397967)
69115701,33.7359358,-84.3913929,3,motorway_junction,,,POINT (-84.3913929 33.7359358)
69116015,33.779642,-84.4075701,3,,,,POINT (-84.4075701 33.779642)
69116075,33.7758835,-84.4070075,5,traffic_signals,,,POINT (-84.4070075 33.7758835)
69116243,33.7755914,-84.4260758,3,,,,POINT (-84.4260758 33.7755914)
69117108,33.7696946,-84.3893319,3,,,,POINT (-84.3893319 33.7696946)
69117124,33.770056,-84.389861,3,,,,POINT (-84.389861 33.770056)
69117133,33.7730044,-84.3900428,3,,,,POINT (-84.3900428 33.7730044)
69117137,33.7634107,-84.3835532,3,motorway_junction,248C,,POINT (-84.3835532 33.7634107)
69117194,33.739409,-84.351279,3,,,,POINT (-84.351279 33.739409)
69117197,33.739398,-84.3492531,3,,,,POINT (-84.3492531 33.739398)
69117218,33.7583715,-84.3813925,3,,,,POINT (-84.3813925 33.7583715)
69117445,33.743873,-84.367408,3,,,,POINT (-84.367408 33.743873)
69117451,33.743925,-84.36813,4,traffic_signals,,,POINT (-84.36813 33.743925)
69117457,33.7435132,-84.3724522,3,,,,POINT (-84.3724522 33.7435132)
69117465,33.744111,-84.3793235,3,,,,POINT (-84.3793235 33.744111)
69117472,33.7435145,-84.3748164,3,motorway_junction,58B,,POINT (-84.3748164 33.7435145)
69118024,33.772616,-84.3900856,3,,,,POINT (-84.3900856 33.772616)
69118052,33.7657102,-84.3902819,3,motorway_junction,,,POINT (-84.3902819 33.7657102)
69118105,33.7708463,-84.3904623,3,motorway_junction,,,POINT (-84.3904623 33.7708463)
69118144,33.7658226,-84.390402,3,,,,POINT (-84.390402 33.7658226)
69118311,33.7416225,-84.4199783,3,motorway_junction,55A,,POINT (-84.4199783 33.7416225)
69118334,33.740684,-84.418471,3,,,,POINT (-84.418471 33.740684)
69121303,33.7616613,-84.3806188,3,,,,POINT (-84.3806188 33.7616613)
69121345,33.7603232,-84.3789284,4,,,,POINT (-84.3789284 33.7603232)
69121427,33.7687476,-84.3746439,1,,,,POINT (-84.3746439 33.7687476)
69121526,33.7693686,-84.3893438,3,,,,POINT (-84.3893438 33.7693686)
69122237,33.759658,-84.382188,4,traffic_signals,,,POINT (-84.382188 33.759658)
69122299,33.7502853,-84.3814887,3,,,,POINT (-84.3814887 33.7502853)
69122348,33.7484283,-84.3836927,3,,,,POINT (-84.3836927 33.7484283)
69122351,33.7480483,-84.3843454,3,,,,POINT (-84.3843454 33.7480483)
69122363,33.7478934,-84.3838376,4,traffic_signals,,,POINT (-84.3838376 33.7478934)
69123259,33.7632767,-84.3829488,3,,,,POINT (-84.3829488 33.7632767)
69123280,33.7611193,-84.3793777,3,,,,POINT (-84.3793777 33.7611193)
69124253,33.7412114,-84.4120549,3,,,,POINT (-84.4120549 33.7412114)
69124261,33.7409738,-84.4141327,3,,,,POINT (-84.4141327 33.7409738)
69124375,33.7221227,-84.3937968,3,,,,POINT (-84.3937968 33.7221227)
69124380,33.7223352,-84.3939234,3,,,,POINT (-84.3939234 33.7223352)
69124399,33.7256512,-84.3935459,3,,,,POINT (-84.3935459 33.7256512)
69124438,33.7368261,-84.3926257,5,,,,POINT (-84.3926257 33.7368261)
69124441,33.7336565,-84.3923032,3,,,,POINT (-84.3923032 33.7336565)
69124550,33.7427994,-84.3681417,5,traffic_signals,,,POINT (-84.3681417 33.7427994)
69124554,33.7429103,-84.3672069,3,,,,POINT (-84.3672069 33.7429103)
69124870,33.7463489,-84.3881039,3,,,,POINT (-84.3881039 33.7463489)
69124886,33.7735638,-84.4089726,3,,,,POINT (-84.4089726 33.7735638)
69124920,33.740665,-84.416511,3,,,,POINT (-84.416511 33.740665)
69124921,33.738169,-84.416373,3,,,,POINT (-84.416373 33.738169)
69124924,33.747728,-84.420894,3,,,,POINT (-84.420894 33.747728)
69124926,33.747498,-84.421772,3,,,,POINT (-84.421772 33.747498)
69126031,33.744908,-84.4266579,3,motorway_junction,54,,POINT (-84.4266579 33.744908)
69126039,33.7469206,-84.4299075,4,,,,POINT (-84.4299075 33.7469206)
69126550,33.7598792,-84.3769798,3,,,,POINT (-84.3769798 33.7598792)
69126564,33.7601077,-84.3747608,3,,,,POINT (-84.3747608 33.7601077)
69126611,33.7430268,-84.3650815,3,,,,POINT (-84.3650815 33.7430268)
69126652,33.7436921,-84.3645008,3,motorway_junction,,,POINT (-84.3645008 33.7436921)
