osmid,y,x,street_count,highway,junction,ref,railway,geometry
21638845,41.3700925,2.187743,3,,,,,POINT (2.187743 41.3700925)
21638855,41.3749826,2.1888306,3,,,,,POINT (2.1888306 41.3749826)
21638859,41.3763469,2.1886934,3,,,,,POINT (2.1886934 41.3763469)
21638861,41.3780115,2.1880402,3,,,,,POINT (2.1880402 41.3780115)
21638867,41.3782089,2.1889331,4,,,,,POINT (2.1889331 41.3782089)
21638868,41.3784394,2.1899711,3,,,,,POINT (2.1899711 41.3784394)
21638869,41.3785912,2.1906605,4,,,,,POINT (2.1906605 41.3785912)
21638877,41.3791109,2.1891407,4,,,,,POINT (2.1891407 41.3791109)
21638878,41.3792994,2.1900047,4,,,,,POINT (2.1900047 41.3792994)
21638882,41.3805427,2.1878203,4,,,,,POINT (2.1878203 41.3805427)
21638889,41.3821491,2.1841315,3,,,,,POINT (2.1841315 41.3821491)
21638891,41.3826029,2.1831923,4,,,,,POINT (2.1831923 41.3826029)
21638917,41.375966,2.1781634,3,,,,,POINT (2.1781634 41.375966)
21638920,41.3754663,2.177604,3,,,,,POINT (2.177604 41.3754663)
21638921,41.3755381,2.1774317,3,,,,,POINT (2.1774317 41.3755381)
21638922,41.3757129,2.1773686,3,,,,,POINT (2.1773686 41.3757129)
26057050,41.3749125,2.148548,3,,,,,POINT (2.148548 41.3749125)
26057076,41.3733143,2.1762752,3,,,,,POINT (2.1762752 41.3733143)
26057079,41.3736617,2.1768881,3,,,,,POINT (2.1768881 41.3736617)
26057116,41.3857548,2.1701372,3,,,,,POINT (2.1701372 41.3857548)
26057125,41.3873921,2.1685651,4,,,,,POINT (2.1685651 41.3873921)
26057131,41.3888075,2.1723496,5,,,,,POINT (2.1723496 41.3888075)
26057304,41.3865594,2.1662922,4,,,,,POINT (2.1662922 41.3865594)
26057312,41.389593,2.16837,4,,,,,POINT (2.16837 41.389593)
26057341,41.3893033,2.1736889,4,,,,,POINT (2.1736889 41.3893033)
26057342,41.3899292,2.1753258,4,,,,,POINT (2.1753258 41.3899292)
26057345,41.3892283,2.1762283,3,,,,,POINT (2.1762283 41.3892283)
26057346,41.3889575,2.1758863,3,,,,,POINT (2.1758863 41.3889575)
26057347,41.3889558,2.1737424,3,,,,,POINT (2.1737424 41.3889558)
26057388,41.3838266,2.1608564,4,,,,,POINT (2.1608564 41.3838266)
26057389,41.3846778,2.1619691,4,,,,,POINT (2.1619691 41.3846778)
26198828,41.3812781,2.1574616,4,,,,,POINT (2.1574616 41.3812781)
26198831,41.3804334,2.1563247,4,,,,,POINT (2.1563247 41.3804334)
26198833,41.3795841,2.1551756,4,,,,,POINT (2.1551756 41.3795841)
26198844,41.3778725,2.1529147,4,traffic_signals,,,,POINT (2.1529147 41.3778725)
30227025,41.3782059,2.1733456,3,,,,,POINT (2.1733456 41.3782059)
30227032,41.3777597,2.1728957,3,,,,,POINT (2.1728957 41.3777597)
30227035,41.3805733,2.1708255,3,,,,,POINT (2.1708255 41.3805733)
30227040,41.3797053,2.1726234,1,,,,,POINT (2.1726234 41.3797053)
30227050,41.3778764,2.1717029,4,,,,,POINT (2.1717029 41.3778764)
30227052,41.3774098,2.1725123,3,,,,,POINT (2.1725123 41.3774098)
30227068,41.3773903,2.1711983,3,,,,,POINT (2.1711983 41.3773903)
30227070,41.3801128,2.1740277,3,,,,,POINT (2.1740277 41.3801128)
30227084,41.3794242,2.1746078,3,traffic_signals,,,,POINT (2.1746078 41.3794242)
30227134,41.3816095,2.1638237,3,,,,,POINT (2.1638237 41.3816095)
30227135,41.3812656,2.1638885,3,,,,,POINT (2.1638885 41.3812656)
30227136,41.3807924,2.1639619,4,,,,,POINT (2.1639619 41.3807924)
30227137,41.3803796,2.1640259,3,,,,,POINT (2.1640259 41.3803796)
30227139,41.380881,2.1652665,1,,,,,POINT (2.1652665 41.380881)
30227159,41.381356,2.1649365,1,,,,,POINT (2.1649365 41.381356)
30227192,41.3837354,2.1644878,3,,,,,POINT (2.1644878 41.3837354)
30227193,41.383326,2.1649366,4,,,,,POINT (2.1649366 41.383326)
30227196,41.3823117,2.1660362,4,,,,,POINT (2.1660362 41.3823117)
30227198,41.3807467,2.1677141,3,,,,,POINT (2.1677141 41.3807467)
30227228,41.3803786,2.1631037,3,,,,,POINT (2.1631037 41.3803786)
30227229,41.3803577,2.1636551,3,,,,,POINT (2.1636551 41.3803577)
30227231,41.3804058,2.1645765,3,,,,,POINT (2.1645765 41.3804058)
30227232,41.3804556,2.1655022,3,,,,,POINT (2.1655022 41.3804556)
30227233,41.3805014,2.1661378,3,,,,,POINT (2.1661378 41.3805014)
30227390,41.3821042,2.1683799,4,,,,,POINT (2.1683799 41.3821042)
30227391,41.3824395,2.168972,4,,,,,POINT (2.168972 41.3824395)
30227397,41.3836786,2.1711192,3,,,,,POINT (2.1711192 41.3836786)
30227450,41.3789074,2.1638551,3,,,,,POINT (2.1638551 41.3789074)
30227468,41.3802335,2.169702,3,,,,,POINT (2.169702 41.3802335)
30227478,41.3812409,2.1730536,3,,,,,POINT (2.1730536 41.3812409)
30227487,41.3816613,2.1758448,3,,,,,POINT (2.1758448 41.3816613)
30227495,41.3839666,2.178726,4,,,,,POINT (2.178726 41.3839666)
30236715,41.3732646,2.1627417,4,,,,,POINT (2.1627417 41.3732646)
30236716,41.3729058,2.1625876,3,,,,,POINT (2.1625876 41.3729058)
30236718,41.3725151,2.1624364,3,,,,,POINT (2.1624364 41.3725151)
30236720,41.3731607,2.1614811,3,,,,,POINT (2.1614811 41.3731607)
30236748,41.3722005,2.1630471,4,,,,,POINT (2.1630471 41.3722005)
30236749,41.3720641,2.1637054,4,,,,,POINT (2.1637054 41.3720641)
30236750,41.3719232,2.1643854,4,,,,,POINT (2.1643854 41.3719232)
30236751,41.3717782,2.165075,4,,,,,POINT (2.165075 41.3717782)
30236752,41.3716733,2.1655913,4,,,,,POINT (2.1655913 41.3716733)
30236753,41.3715787,2.1660458,3,,,,,POINT (2.1660458 41.3715787)
30236760,41.3737213,2.1616867,4,,,,,POINT (2.1616867 41.3737213)
30236761,41.3725819,2.16125,4,,,,,POINT (2.16125 41.3725819)
30236773,41.3730769,2.1633623,4,,,,,POINT (2.1633623 41.3730769)
30236779,41.3728784,2.1640046,4,,,,,POINT (2.1640046 41.3728784)
30236780,41.3714679,2.1634973,3,,,,,POINT (2.1634973 41.3714679)
30236782,41.368891,2.1246147,3,,,,,POINT (2.1246147 41.368891)
30236783,41.369201,2.1250882,4,,,,,POINT (2.1250882 41.369201)
30236784,41.3696313,2.1257087,4,,,,,POINT (2.1257087 41.3696313)
30236785,41.3700482,2.1262952,4,,,,,POINT (2.1262952 41.3700482)
30236786,41.3706581,2.1271657,4,,,,,POINT (2.1271657 41.3706581)
30236807,41.3694104,2.1224742,3,,,,,POINT (2.1224742 41.3694104)
30236808,41.3698529,2.1231626,3,,,,,POINT (2.1231626 41.3698529)
30236809,41.370277,2.1237927,4,,,,,POINT (2.1237927 41.370277)
30236810,41.370708,2.1243999,4,,,,,POINT (2.1243999 41.370708)
30236811,41.3711894,2.1250982,4,,,,,POINT (2.1250982 41.3711894)
30236812,41.3716837,2.125811,4,,,,,POINT (2.125811 41.3716837)
30236813,41.3721659,2.126484,3,,,,,POINT (2.126484 41.3721659)
30236815,41.372444,2.121292,3,,,,,POINT (2.121292 41.372444)
30236816,41.3715012,2.1221575,3,,,,,POINT (2.1221575 41.3715012)
30236830,41.3726774,2.1216581,3,,,,,POINT (2.1216581 41.3726774)
30236831,41.3717173,2.122535,3,,,,,POINT (2.122535 41.3717173)
30236842,41.3698397,2.1191228,4,,,,,POINT (2.1191228 41.3698397)
30236843,41.3703682,2.1200802,4,,,,,POINT (2.1200802 41.3703682)
30236844,41.3708571,2.1210005,4,,,,,POINT (2.1210005 41.3708571)
30236845,41.3711628,2.1215472,3,,,,,POINT (2.1215472 41.3711628)
30236846,41.3715521,2.1222423,3,,,,,POINT (2.1222423 41.3715521)
30236847,41.3719334,2.1229395,4,,,,,POINT (2.1229395 41.3719334)
30236848,41.3723998,2.1236892,3,,,,,POINT (2.1236892 41.3723998)
30236892,41.371023,2.1228871,3,,,,,POINT (2.1228871 41.371023)
30236893,41.3686916,2.1256958,3,,,,,POINT (2.1256958 41.3686916)
30236901,41.369855,2.1281473,3,,,,,POINT (2.1281473 41.369855)
30236902,41.3694725,2.1275391,4,,,,,POINT (2.1275391 41.3694725)
30236905,41.3689765,2.126487,4,,,,,POINT (2.126487 41.3689765)
30236908,41.3690014,2.1241738,3,,,,,POINT (2.1241738 41.3690014)
30236925,41.3739279,2.1211692,3,,,,,POINT (2.1211692 41.3739279)
30236927,41.3732876,2.1217177,3,,,,,POINT (2.1217177 41.3732876)
30236928,41.3729381,2.1220246,4,,,,,POINT (2.1220246 41.3729381)
30236929,41.3726302,2.1223228,3,,,,,POINT (2.1223228 41.3726302)
30236930,41.3714456,2.1235134,3,,,,,POINT (2.1235134 41.3714456)
30236932,41.3757365,2.1190355,3,,,,,POINT (2.1190355 41.3757365)
30236941,41.3739633,2.1197564,4,,,,,POINT (2.1197564 41.3739633)
30236943,41.3733266,2.1201979,3,,,,,POINT (2.1201979 41.3733266)
30236944,41.3727018,2.1205854,4,,,,,POINT (2.1205854 41.3727018)
30236945,41.3721794,2.1209061,4,,,,,POINT (2.1209061 41.3721794)
30237016,41.374469,2.1187654,4,,,,,POINT (2.1187654 41.374469)
30237017,41.3737125,2.1192514,4,,,,,POINT (2.1192514 41.3737125)
30237019,41.3724939,2.1199949,4,,,,,POINT (2.1199949 41.3724939)
30237020,41.3718369,2.1203996,4,,,,,POINT (2.1203996 41.3718369)
30237021,41.3700445,2.1214759,3,,,,,POINT (2.1214759 41.3700445)
30237022,41.3692377,2.1219888,3,,,,,POINT (2.1219888 41.3692377)
30237023,41.3731989,2.1182449,3,,,,,POINT (2.1182449 41.3731989)
30237024,41.372237,2.1192599,4,,,,,POINT (2.1192599 41.372237)
30237025,41.3715642,2.1199789,3,,,,,POINT (2.1199789 41.3715642)
30237052,41.3728885,2.1176486,3,,,,,POINT (2.1176486 41.3728885)
30237053,41.3719083,2.118489,4,,,,,POINT (2.118489 41.3719083)
30237055,41.3710638,2.1192551,4,,,,,POINT (2.1192551 41.3710638)
30237057,41.3696609,2.1209051,4,,,,,POINT (2.1209051 41.3696609)
30237058,41.369055,2.1213629,3,,,,,POINT (2.1213629 41.369055)
30237071,41.3715627,2.1176599,3,crossing,,,,POINT (2.1176599 41.3715627)
30237072,41.3710661,2.1180828,3,,,,,POINT (2.1180828 41.3710661)
30237073,41.370564,2.1185188,4,,,,,POINT (2.1185188 41.370564)
30237075,41.3694368,2.1204638,3,,,,,POINT (2.1204638 41.3694368)
30237077,41.371901,2.1242361,3,,,,,POINT (2.1242361 41.371901)
30237078,41.3722245,2.1248634,4,,,,,POINT (2.1248634 41.3722245)
30237081,41.372685,2.1257544,3,,,,,POINT (2.1257544 41.372685)
30237102,41.3733711,2.1226625,4,,,,,POINT (2.1226625 41.3733711)
30237103,41.3737502,2.123202,3,,,,,POINT (2.123202 41.3737502)
30237104,41.3741959,2.1238666,4,,,,,POINT (2.1238666 41.3741959)
30237157,41.3734524,2.1187462,3,,,,,POINT (2.1187462 41.3734524)
30237197,41.3746762,2.1191958,3,,,,,POINT (2.1191958 41.3746762)
30237233,41.3730613,2.1179801,3,,,,,POINT (2.1179801 41.3730613)
30237479,41.3819128,2.1331909,3,,,,,POINT (2.1331909 41.3819128)
30237481,41.3828477,2.1357472,4,,,,,POINT (2.1357472 41.3828477)
30237482,41.3833308,2.1370625,4,,,,,POINT (2.1370625 41.3833308)
30237483,41.3840404,2.1381687,4,,,,,POINT (2.1381687 41.3840404)
30237484,41.3847771,2.1393782,3,,,,,POINT (2.1393782 41.3847771)
30237520,41.3847725,2.1352521,3,,,,,POINT (2.1352521 41.3847725)
30237521,41.384249,2.1356364,3,,,,,POINT (2.1356364 41.384249)
30237530,41.3887886,2.1363534,3,,,,,POINT (2.1363534 41.3887886)
30237531,41.3885271,2.1365669,4,,,,,POINT (2.1365669 41.3885271)
30237532,41.387952,2.1371009,4,,,,,POINT (2.1371009 41.387952)
30237533,41.3868614,2.1381582,3,,,,,POINT (2.1381582 41.3868614)
30237540,41.387364,2.1337711,4,,,,,POINT (2.1337711 41.387364)
30237541,41.3870851,2.1340451,4,,,,,POINT (2.1340451 41.3870851)
30237542,41.3865411,2.1345827,3,,,,,POINT (2.1345827 41.3865411)
30237586,41.3856377,2.1449091,4,,,,,POINT (2.1449091 41.3856377)
30237587,41.3865079,2.1460175,4,,,,,POINT (2.1460175 41.3865079)
30237588,41.3873405,2.1471297,3,,,,,POINT (2.1471297 41.3873405)
30237606,41.3857841,2.1428299,4,,,,,POINT (2.1428299 41.3857841)
30237607,41.3864745,2.1437427,4,,,,,POINT (2.1437427 41.3864745)
30237610,41.3890311,2.1471617,3,traffic_signals,,,,POINT (2.1471617 41.3890311)
30237612,41.3907397,2.1494208,4,,,,,POINT (2.1494208 41.3907397)
30237613,41.3916165,2.1505827,4,,,,,POINT (2.1505827 41.3916165)
30237614,41.3924477,2.1517144,4,traffic_signals,,,,POINT (2.1517144 41.3924477)
30237615,41.3932932,2.1528513,4,traffic_signals,,,,POINT (2.1528513 41.3932932)
30237616,41.3941584,2.1539878,3,,,,,POINT (2.1539878 41.3941584)
30237617,41.3950168,2.1551106,3,,,,,POINT (2.1551106 41.3950168)
30237627,41.3881987,2.1437715,3,traffic_signals,,,,POINT (2.1437715 41.3881987)
30237628,41.3890419,2.1448762,4,traffic_signals,,,,POINT (2.1448762 41.3890419)
30237629,41.3898656,2.1460064,3,,,,,POINT (2.1460064 41.3898656)
30237630,41.390113,2.1462804,4,,,,,POINT (2.1462804 41.390113)
30237632,41.3916143,2.1482746,4,,,,,POINT (2.1482746 41.3916143)
30237633,41.3924805,2.1494147,4,traffic_signals,,,,POINT (2.1494147 41.3924805)
30237634,41.393332,2.1505498,4,traffic_signals,,,,POINT (2.1505498 41.393332)
30237635,41.3941775,2.1516724,3,traffic_signals,,,,POINT (2.1516724 41.3941775)
30237637,41.3943603,2.15143,4,traffic_signals,,,,POINT (2.15143 41.3943603)
30237638,41.3924756,2.1539557,4,traffic_signals,,,,POINT (2.1539557 41.3924756)
30237639,41.3916167,2.1550569,4,traffic_signals,,,,POINT (2.1550569 41.3916167)
30237640,41.3907305,2.1561894,4,traffic_signals,,,,POINT (2.1561894 41.3907305)
30237641,41.3899095,2.1573273,4,traffic_signals,,,,POINT (2.1573273 41.3899095)
30237642,41.3890454,2.1584753,4,traffic_signals,,,,POINT (2.1584753 41.3890454)
30237643,41.3881987,2.1595996,4,,,,,POINT (2.1595996 41.3881987)
30237645,41.3864884,2.1618459,4,,,,,POINT (2.1618459 41.3864884)
30237675,41.4064169,2.1333366,4,,,,,POINT (2.1333366 41.4064169)
30237677,41.4054372,2.1349603,4,,,,,POINT (2.1349603 41.4054372)
