osmid,y,x,street_count,highway,ref,geometry
25585055,39.9019869,116.3855782,3,,,POINT (116.3855782 39.9019869)
25585083,39.8990026,116.3867923,3,,,POINT (116.3867923 39.8990026)
25585092,39.8988605,116.3818619,3,,,POINT (116.3818619 39.8988605)
25585116,39.9005436,116.3778503,3,,,POINT (116.3778503 39.9005436)
25585122,39.9029395,116.3777633,3,,,POINT (116.3777633 39.9029395)
25585141,39.900629,116.3817558,3,,,POINT (116.3817558 39.900629)
27547614,39.9277429,116.3499229,3,motorway_junction,31,POINT (116.3499229 39.9277429)
27547627,39.940267,116.3493751,3,,,POINT (116.3493751 39.940267)
27547644,39.9476852,116.3501458,3,,,POINT (116.3501458 39.9476852)
31017966,39.9476591,116.4053914,3,,,POINT (116.4053914 39.9476591)
31017991,39.9477768,116.4053672,3,,,POINT (116.4053672 39.9477768)
31018090,39.9477061,116.4263068,3,,,POINT (116.4263068 39.9477061)
31194136,39.9116148,116.4005425,3,traffic_signals,,POINT (116.4005425 39.9116148)
31194141,39.9137334,116.3954762,1,,,POINT (116.3954762 39.9137334)
31194142,39.9137696,116.3967322,4,traffic_signals,,POINT (116.3967322 39.9137696)
31194143,39.913891,116.4003856,4,traffic_signals,,POINT (116.4003856 39.913891)
31194144,39.9141607,116.4115736,5,traffic_signals,,POINT (116.4115736 39.9141607)
31194145,39.9142291,116.4203626,4,traffic_signals,,POINT (116.4203626 39.9142291)
31194147,39.9174093,116.4114267,3,traffic_signals,,POINT (116.4114267 39.9174093)
31201008,39.9212191,116.4134008,1,,,POINT (116.4134008 39.9212191)
31201265,39.910715,116.4205538,4,traffic_signals,,POINT (116.4205538 39.910715)
31201268,39.912862,116.4204506,4,,,POINT (116.4204506 39.912862)
31201271,39.9170371,116.420191,3,,,POINT (116.420191 39.9170371)
31201272,39.9177719,116.4201576,3,traffic_signals,,POINT (116.4201576 39.9177719)
31201275,39.9205644,116.4200322,3,traffic_signals,,POINT (116.4200322 39.9205644)
31331903,39.9475266,116.375946,3,,,POINT (116.375946 39.9475266)
31331906,39.9477018,116.3980371,3,,,POINT (116.3980371 39.9477018)
31331978,39.9096974,116.429338,3,motorway_junction,7A,POINT (116.429338 39.9096974)
32387954,39.9321141,116.4271437,3,,,POINT (116.4271437 39.9321141)
32387957,39.9322374,116.4286887,3,,,POINT (116.4286887 39.9322374)
32388118,39.9319029,116.4025943,4,traffic_signals,,POINT (116.4025943 39.9319029)
32615474,39.9310731,116.3433507,4,traffic_signals,,POINT (116.3433507 39.9310731)
32615475,39.9311432,116.3478772,3,,,POINT (116.3478772 39.9311432)
