osmid,y,x,street_count,highway,ref,railway,geometry
12614600,52.526513,13.4477389,4,,,,POINT (13.4477389 52.526513)
12614644,52.5375413,13.4287152,4,,,,POINT (13.4287152 52.5375413)
12614650,52.5295569,13.4444487,4,,,,POINT (13.4444487 52.5295569)
12614651,52.5141613,13.4696307,3,,,,POINT (13.4696307 52.5141613)
12614667,52.5147994,13.4633198,3,,,,POINT (13.4633198 52.5147994)
12614681,52.5342644,13.4374057,4,,,,POINT (13.4374057 52.5342644)
12615161,52.5517188,13.4304841,3,,,,POINT (13.4304841 52.5517188)
12615173,52.5510442,13.4299934,4,,,,POINT (13.4299934 52.5510442)
16541698,52.5528431,13.4240817,4,,,,POINT (13.4240817 52.5528431)
16541699,52.5521876,13.4270855,4,,,,POINT (13.4270855 52.5521876)
16541700,52.5524326,13.4273298,4,,,,POINT (13.4273298 52.5524326)
16541701,52.550953,13.430239,4,,,,POINT (13.430239 52.550953)
16541702,52.5512606,13.4303806,4,,,,POINT (13.4303806 52.5512606)
16541703,52.5513646,13.4301052,4,,,,POINT (13.4301052 52.5513646)
16541704,52.5477548,13.43953,4,,,,POINT (13.43953 52.5477548)
16541705,52.5473603,13.4391511,4,,,,POINT (13.4391511 52.5473603)
16541707,52.5529925,13.4485533,3,,,,POINT (13.4485533 52.5529925)
16541708,52.5531291,13.4487952,3,,,,POINT (13.4487952 52.5531291)
16541709,52.5530546,13.4493277,3,,,,POINT (13.4493277 52.5530546)
16541711,52.5548556,13.458093,4,,,,POINT (13.458093 52.5548556)
20246103,52.4917137,13.4577131,5,,,,POINT (13.4577131 52.4917137)
20246105,52.4972413,13.4644327,3,,,,POINT (13.4644327 52.4972413)
20246107,52.4974197,13.4646667,5,,,,POINT (13.4646667 52.4974197)
20246112,52.5026911,13.4465904,4,,,,POINT (13.4465904 52.5026911)
20246123,52.5128302,13.4656377,4,,,,POINT (13.4656377 52.5128302)
20246125,52.5126895,13.4669903,4,,,,POINT (13.4669903 52.5126895)
20246126,52.5122871,13.4712092,4,,,,POINT (13.4712092 52.5122871)
20246128,52.513621,13.4716242,1,turning_circle,,,POINT (13.4716242 52.513621)
20246137,52.509682,13.4673735,4,,,,POINT (13.4673735 52.509682)
20246138,52.5076971,13.4653952,4,,,,POINT (13.4653952 52.5076971)
20246140,52.506956,13.468595,3,,,,POINT (13.468595 52.506956)
20246141,52.5061939,13.4702915,4,,,,POINT (13.4702915 52.5061939)
20246171,52.5012611,13.4665907,3,,,,POINT (13.4665907 52.5012611)
20246248,52.5143796,13.4674671,4,,,,POINT (13.4674671 52.5143796)
20246250,52.5145146,13.4661368,3,,,,POINT (13.4661368 52.5145146)
20246257,52.5156454,13.3890372,4,,,,POINT (13.3890372 52.5156454)
20246260,52.5085207,13.3696078,3,,,,POINT (13.3696078 52.5085207)
20246262,52.5062815,13.3683612,4,,,,POINT (13.3683612 52.5062815)
20246264,52.5071426,13.3560797,3,,,,POINT (13.3560797 52.5071426)
21306260,52.4934215,13.4281974,3,,,,POINT (13.4281974 52.4934215)
21306261,52.4938935,13.4286574,4,,,,POINT (13.4286574 52.4938935)
21306262,52.4955538,13.4302943,4,,,,POINT (13.4302943 52.4955538)
21306263,52.497343,13.4320654,3,,,,POINT (13.4320654 52.497343)
21306264,52.4964949,13.4345735,3,,,,POINT (13.4345735 52.4964949)
21306265,52.4957278,13.4368181,3,,,,POINT (13.4368181 52.4957278)
21306267,52.4944131,13.44068,3,,,,POINT (13.44068 52.4944131)
21385723,52.5047025,13.4656624,3,,,,POINT (13.4656624 52.5047025)
21385724,52.5054404,13.4666324,4,,,,POINT (13.4666324 52.5054404)
21385796,52.5357028,13.4067322,4,,,,POINT (13.4067322 52.5357028)
21385800,52.5401628,13.4113781,3,,,,POINT (13.4113781 52.5401628)
21385808,52.5429253,13.423419,3,,,,POINT (13.423419 52.5429253)
21385809,52.5422133,13.4231212,3,,,,POINT (13.4231212 52.5422133)
