osmid,y,x,highway,street_count,railway,geometry
32382072,-34.5915793,-58.3820534,traffic_signals,4,,POINT (-58.3820534 -34.5915793)
32382075,-34.6061114,-58.3817206,traffic_signals,4,,POINT (-58.3817206 -34.6061114)
32382078,-34.6221516,-58.3810258,traffic_signals,5,,POINT (-58.3810258 -34.6221516)
32382578,-34.6221506,-58.3807642,traffic_signals,4,,POINT (-58.3807642 -34.6221506)
32382580,-34.6002417,-58.3815899,traffic_signals,4,,POINT (-58.3815899 -34.6002417)
32385175,-34.5953921,-58.3819695,traffic_signals,4,,POINT (-58.3819695 -34.5953921)
32385176,-34.5954298,-58.3824537,traffic_signals,4,,POINT (-58.3824537 -34.5954298)
32385196,-34.5900356,-58.4089145,traffic_signals,3,,POINT (-58.4089145 -34.5900356)
32385206,-34.5952208,-58.3799595,traffic_signals,4,,POINT (-58.3799595 -34.5952208)
32385207,-34.5950907,-58.378511,traffic_signals,4,,POINT (-58.378511 -34.5950907)
60636576,-34.6047431,-58.4036326,traffic_signals,4,,POINT (-58.4036326 -34.6047431)
60636725,-34.604023,-58.4103403,traffic_signals,4,,POINT (-58.4103403 -34.604023)
81548191,-34.5731076,-58.4224419,,4,,POINT (-58.4224419 -34.5731076)
81548192,-34.5736234,-58.4212561,,4,,POINT (-58.4212561 -34.5736234)
81548193,-34.5741978,-58.420022,,4,,POINT (-58.420022 -34.5741978)
81548195,-34.5746785,-58.4188199,,3,,POINT (-58.4188199 -34.5746785)
81548334,-34.5737258,-58.4235462,,1,,POINT (-58.4235462 -34.5737258)
81548336,-34.5739613,-58.4229205,,4,,POINT (-58.4229205 -34.5739613)
81548338,-34.5749814,-58.4205712,,4,,POINT (-58.4205712 -34.5749814)
81548339,-34.5754967,-58.4193724,,3,,POINT (-58.4193724 -34.5754967)
81548868,-34.5754878,-58.4223415,traffic_signals,4,,POINT (-58.4223415 -34.5754878)
81548870,-34.5762499,-58.4198334,,3,,POINT (-58.4198334 -34.5762499)
81551254,-34.5891354,-58.3998133,traffic_signals,4,,POINT (-58.3998133 -34.5891354)
81551255,-34.5901902,-58.4003646,traffic_signals,4,,POINT (-58.4003646 -34.5901902)
81551258,-34.5933245,-58.4018599,traffic_signals,4,,POINT (-58.4018599 -34.5933245)
81551259,-34.5944459,-58.4023638,traffic_signals,4,,POINT (-58.4023638 -34.5944459)
81551260,-34.5957898,-58.4028789,traffic_signals,4,,POINT (-58.4028789 -34.5957898)
81551262,-34.5965511,-58.4031283,traffic_signals,4,,POINT (-58.4031283 -34.5965511)
81551268,-34.5998832,-58.4041874,traffic_signals,4,,POINT (-58.4041874 -34.5998832)
81551270,-34.6018241,-58.4048142,traffic_signals,4,,POINT (-58.4048142 -34.6018241)
81551273,-34.6045573,-58.4054869,traffic_signals,4,,POINT (-58.4054869 -34.6045573)
81551274,-34.6055758,-58.4057283,traffic_signals,4,,POINT (-58.4057283 -34.6055758)
81551277,-34.6088638,-58.4060374,traffic_signals,4,,POINT (-58.4060374 -34.6088638)
81551279,-34.6112563,-58.4058559,traffic_signals,4,,POINT (-58.4058559 -34.6112563)
81551280,-34.6124158,-58.4055874,traffic_signals,4,,POINT (-58.4055874 -34.6124158)
81551281,-34.6134134,-58.4052805,traffic_signals,4,,POINT (-58.4052805 -34.6134134)
81551282,-34.6146212,-58.404916,traffic_signals,4,,POINT (-58.404916 -34.6146212)
81551284,-34.6170293,-58.4041088,traffic_signals,4,,POINT (-58.4041088 -34.6170293)
81551286,-34.6188438,-58.4035056,traffic_signals,4,,POINT (-58.4035056 -34.6188438)
81551287,-34.6198199,-58.403201,traffic_signals,4,,POINT (-58.403201 -34.6198199)
81551289,-34.6211374,-58.4027939,traffic_signals,4,,POINT (-58.4027939 -34.6211374)
81551290,-34.6224327,-58.402487,traffic_signals,4,,POINT (-58.402487 -34.6224327)
81551416,-34.6237646,-58.4021818,traffic_signals,4,,POINT (-58.4021818 -34.6237646)
81551676,-34.6239248,-58.4034929,,3,,POINT (-58.4034929 -34.6239248)
81551679,-34.627613,-58.4026514,traffic_signals,4,,POINT (-58.4026514 -34.627613)
81552576,-34.6259078,-58.4069174,,3,,POINT (-58.4069174 -34.6259078)
81552577,-34.6257635,-58.4056018,,4,,POINT (-58.4056018 -34.6257635)
81552578,-34.6254496,-58.4031499,traffic_signals,4,,POINT (-58.4031499 -34.6254496)
81552579,-34.6251838,-58.4018523,traffic_signals,4,,POINT (-58.4018523 -34.6251838)
81552580,-34.6248434,-58.400262,traffic_signals,4,,POINT (-58.400262 -34.6248434)
81552581,-34.6246111,-58.3991048,,4,,POINT (-58.3991048 -34.6246111)
81552582,-34.6244614,-58.3974974,,4,,POINT (-58.3974974 -34.6244614)
81552583,-34.6242624,-58.3959847,,4,,POINT (-58.3959847 -34.6242624)
81555213,-34.6350365,-58.410382,traffic_signals,3,,POINT (-58.410382 -34.6350365)
81555215,-34.6347097,-58.4093389,traffic_signals,5,,POINT (-58.4093389 -34.6347097)
81555216,-34.6343222,-58.4078775,,4,,POINT (-58.4078775 -34.6343222)
81555217,-34.6337422,-58.4060103,traffic_signals,4,,POINT (-58.4060103 -34.6337422)
81555218,-34.6332154,-58.4045223,,4,,POINT (-58.4045223 -34.6332154)
81555219,-34.632645,-58.4030962,,4,,POINT (-58.4030962 -34.632645)
81555221,-34.6321876,-58.4019517,,4,,POINT (-58.4019517 -34.6321876)
81555222,-34.6306816,-58.3977416,traffic_signals,4,,POINT (-58.3977416 -34.6306816)
81556497,-34.6291866,-58.4054492,traffic_signals,5,,POINT (-58.4054492 -34.6291866)
81556499,-34.6303769,-58.404962,,3,,POINT (-58.404962 -34.6303769)
81556500,-34.6316373,-58.4047703,traffic_signals,4,,POINT (-58.4047703 -34.6316373)
81556502,-34.6343869,-58.4043007,,4,,POINT (-58.4043007 -34.6343869)
81556503,-34.6355239,-58.4040633,traffic_signals,4,,POINT (-58.4040633 -34.6355239)
81556505,-34.6367775,-58.4037874,traffic_signals,4,,POINT (-58.4037874 -34.6367775)
81556506,-34.6379747,-58.4035389,,4,,POINT (-58.4035389 -34.6379747)
81556507,-34.6392048,-58.4032624,traffic_signals,4,,POINT (-58.4032624 -34.6392048)
81556508,-34.6404051,-58.4030003,,4,,POINT (-58.4030003 -34.6404051)
81556510,-34.6415826,-58.4027281,traffic_signals,3,,POINT (-58.4027281 -34.6415826)
81556511,-34.6418792,-58.4026538,,3,,POINT (-58.4026538 -34.6418792)
81556513,-34.6424361,-58.4025226,,3,,POINT (-58.4025226 -34.6424361)
81556514,-34.6431007,-58.4023657,,3,,POINT (-58.4023657 -34.6431007)
81556518,-34.6457884,-58.4017679,traffic_signals,5,,POINT (-58.4017679 -34.6457884)
81556834,-34.644548,-58.4139584,traffic_signals,3,,POINT (-58.4139584 -34.644548)
81556836,-34.6447609,-58.4130407,,4,,POINT (-58.4130407 -34.6447609)
81556839,-34.6451009,-58.4111547,,3,,POINT (-58.4111547 -34.6451009)
81557193,-34.6461833,-58.4094891,,4,,POINT (-58.4094891 -34.6461833)
81557194,-34.6459583,-58.4081162,,4,,POINT (-58.4081162 -34.6459583)
81557195,-34.6457261,-58.4067526,traffic_signals,4,,POINT (-58.4067526 -34.6457261)
81557197,-34.6452708,-58.4040382,,3,,POINT (-58.4040382 -34.6452708)
81557791,-34.6453875,-58.4143644,,3,,POINT (-58.4143644 -34.6453875)
81574349,-34.593334,-58.4458204,traffic_signals,4,,POINT (-58.4458204 -34.593334)
81574350,-34.5940361,-58.4450659,traffic_signals,4,,POINT (-58.4450659 -34.5940361)
81574352,-34.595484,-58.4435157,traffic_signals,4,,POINT (-58.4435157 -34.595484)
81574353,-34.5963485,-58.4425749,traffic_signals,4,,POINT (-58.4425749 -34.5963485)
81574358,-34.5998571,-58.4387462,traffic_signals,4,,POINT (-58.4387462 -34.5998571)
81574359,-34.6005544,-58.4380924,traffic_signals,4,,POINT (-58.4380924 -34.6005544)
81574361,-34.6014014,-58.4372762,traffic_signals,4,,POINT (-58.4372762 -34.6014014)
81574363,-34.6022176,-58.4364697,traffic_signals,4,,POINT (-58.4364697 -34.6022176)
81574364,-34.6030423,-58.4356744,,4,,POINT (-58.4356744 -34.6030423)
81574365,-34.6035694,-58.4351654,traffic_signals,4,,POINT (-58.4351654 -34.6035694)
81574368,-34.6044546,-58.4347391,traffic_signals,4,,POINT (-58.4347391 -34.6044546)
81600850,-34.5995118,-58.370682,,4,,POINT (-58.370682 -34.5995118)
81600853,-34.5996624,-58.3726736,,4,,POINT (-58.3726736 -34.5996624)
81600856,-34.5999426,-58.3768067,traffic_signals,4,,POINT (-58.3768067 -34.5999426)
81600857,-34.6000694,-58.3782112,traffic_signals,4,,POINT (-58.3782112 -34.6000694)
81600858,-34.6001183,-58.3796759,traffic_signals,4,,POINT (-58.3796759 -34.6001183)
81600863,-34.6004982,-58.3853554,traffic_signals,4,,POINT (-58.3853554 -34.6004982)
81600864,-34.6005765,-58.3867616,traffic_signals,4,,POINT (-58.3867616 -34.6005765)
81600868,-34.6006398,-58.3881061,traffic_signals,4,,POINT (-58.3881061 -34.6006398)
81600871,-34.6007433,-58.3914394,traffic_signals,4,,POINT (-58.3914394 -34.6007433)
81600874,-34.6008055,-58.3927613,traffic_signals,4,,POINT (-58.3927613 -34.6008055)
81601542,-34.5963409,-58.423155,traffic_signals,4,,POINT (-58.423155 -34.5963409)
81601544,-34.596435,-58.4215195,traffic_signals,4,,POINT (-58.4215195 -34.596435)
81601548,-34.5965803,-58.4187317,traffic_signals,4,,POINT (-58.4187317 -34.5965803)
81601549,-34.5966588,-58.4169995,traffic_signals,4,,POINT (-58.4169995 -34.5966588)
81601552,-34.5967964,-58.4142259,traffic_signals,4,,POINT (-58.4142259 -34.5967964)
81601553,-34.5968308,-58.412995,traffic_signals,4,,POINT (-58.412995 -34.5968308)
81601556,-34.5969546,-58.4102508,traffic_signals,5,,POINT (-58.4102508 -34.5969546)
81601843,-34.5952826,-58.4230198,traffic_signals,4,,POINT (-58.4230198 -34.5952826)
81601852,-34.5956161,-58.4138302,traffic_signals,4,,POINT (-58.4138302 -34.5956161)
81601854,-34.5956052,-58.4127069,traffic_signals,4,,POINT (-58.4127069 -34.5956052)
81603096,-34.5981492,-58.4202189,traffic_signals,3,,POINT (-58.4202189 -34.5981492)
81603100,-34.5995911,-58.4149407,,4,,POINT (-58.4149407 -34.5995911)
81603101,-34.599941,-58.4137298,,4,,POINT (-58.4137298 -34.599941)
81603102,-34.6002418,-58.412293,traffic_signals,4,,POINT (-58.412293 -34.6002418)
81603109,-34.6020854,-58.4023153,traffic_signals,4,,POINT (-58.4023153 -34.6020854)
81603112,-34.6021762,-58.3970281,traffic_signals,4,,POINT (-58.3970281 -34.6021762)
81603345,-34.6073365,-58.3992593,traffic_signals,4,,POINT (-58.3992593 -34.6073365)
81603346,-34.6084717,-58.3992355,traffic_signals,4,,POINT (-58.3992355 -34.6084717)
81603347,-34.6097017,-58.3991222,traffic_signals,4,,POINT (-58.3991222 -34.6097017)
81603349,-34.6119847,-58.3989671,,4,,POINT (-58.3989671 -34.6119847)
81603351,-34.6131163,-58.398877,traffic_signals,4,,POINT (-58.398877 -34.6131163)
81603352,-34.6143041,-58.3987827,,3,,POINT (-58.3987827 -34.6143041)
81604125,-34.6148371,-58.3978744,,3,,POINT (-58.3978744 -34.6148371)
81604126,-34.6151597,-58.399233,traffic_signals,4,,POINT (-58.399233 -34.6151597)
81604127,-34.6155129,-58.4012743,traffic_signals,4,,POINT (-58.4012743 -34.6155129)
81604130,-34.6160885,-58.405824,traffic_signals,4,,POINT (-58.405824 -34.6160885)
81604132,-34.616367,-58.4069276,,4,,POINT (-58.4069276 -34.616367)
81604133,-34.6166148,-58.4094579,traffic_signals,4,,POINT (-58.4094579 -34.6166148)
