u,v,key,osmid,highway,lanes,maxspeed,name,oneway,ref,reversed,length,bridge,geometry,Inverse SP,Cost of return,Edge Betweenness,junction,access,tunnel,width,est_width,service,Groups
7735887,457702196,0,"[1205926280, 1205926281, 26435277, 97846008, 97846003, 116986998, 116987000, 97846012, 966844669]",trunk,2,"['50 mph', '40 mph']",Eastern Avenue,True,A48,False,2534.426990277214,yes,"LINESTRING (-3.1479128 51.5042001, -3.1479935 51.504141, -3.1485111 51.5037901, -3.1489318 51.5035438, -3.1492861 51.5033591, -3.1495845 51.5032187, -3.1498718 51.5030928, -3.1503501 51.5029117, -3.1507411 51.5027723, -3.1512236 51.5026281, -3.151778 51.502487, -3.152333 51.5023734, -3.1528404 51.5022868, -3.153372 51.50222, -3.1540318 51.5021622, -3.1548363 51.5021243, -3.1568103 51.5020546, -3.1587276 51.5019885, -3.1595427 51.5019603, -3.1604602 51.5019302, -3.1649342 51.5017823, -3.1667114 51.5017274, -3.1675377 51.5017184, -3.1683413 51.5017325, -3.1690692 51.501764, -3.1697819 51.5018133, -3.170253 51.5018574, -3.1707083 51.5019041, -3.1711016 51.5019598, -3.1715397 51.5020314, -3.1719106 51.5021003, -3.1722803 51.5021738, -3.1726177 51.5022534, -3.1731983 51.5023997, -3.1740343 51.5026123, -3.1745123 51.5027337, -3.1751802 51.5029076, -3.1755941 51.5030118, -3.1761643 51.5031573, -3.1767816 51.5033102, -3.1772973 51.5034352, -3.1781115 51.5036217, -3.1791737 51.5038416, -3.18037 51.5040701, -3.1810444 51.5041798, -3.181607 51.5042714, -3.1817068 51.5042876, -3.1827983 51.504446)",4477.883594519396,24.589258800224783,0.0089094372190166,,,,,,,A
7735912,12162299810,0,138220723,trunk,2,30 mph,Western Avenue,True,A48,False,138.27439009355783,,"LINESTRING (-3.2068101 51.5005001, -3.2065515 51.5007615, -3.2063424 51.5009405, -3.2061642 51.5010848, -3.2057932 51.5013413, -3.2056916 51.5014088, -3.2055905 51.5014807)",1787.4903537461594,29.974422340472778,0.0323487742722871,,,,,,,A
7735912,546517955,0,"[380263840, 1271511707, 1311382478]",trunk_link,1,"['30 mph', '20 mph']",Aberporth Road,True,,False,139.06246250058612,,"LINESTRING (-3.2068101 51.5005001, -3.2067121 51.500701, -3.2066026 51.5008268, -3.20644 51.5009856, -3.2062941 51.5011203, -3.2061155 51.5012553, -3.2060265 51.5013194, -3.2059992 51.501339, -3.2059737 51.5013588, -3.2059635 51.5013784, -3.2059625 51.5014066, -3.2059687 51.5014313, -3.2059884 51.5014545, -3.2060407 51.5014886, -3.2060429 51.50149, -3.206115 51.5015642)",1826.890703644245,31.19633987120205,0.0181125641568155,,,,,,,A
21414394,21414397,0,4349340,trunk,3,30 mph,North Road,True,A470,False,9.82111464208492,,"LINESTRING (-3.2003887 51.5081568, -3.2002787 51.5082126)",192.66169691894265,7.361044320218267,0.0410143125081492,,,,,,,A
21414397,8657402752,0,4919130,primary,2,30 mph,Caerphilly Road,True,A469,False,22.58812668778756,,"LINESTRING (-3.2002787 51.5082126, -3.2001354 51.5083002, -3.2000399 51.5083509)",179.89468487324,7.305328697847109,0.0079464183227359,,,,,,,B
21414397,21414398,0,43386465,trunk,3,30 mph,North Road,True,A470,False,53.88756146309666,,"LINESTRING (-3.2002787 51.5082126, -3.2002201 51.5082251, -3.2001545 51.5082375, -3.2000934 51.5082426, -3.2000252 51.50824, -3.1999567 51.5082306, -3.1998917 51.5082147, -3.1998302 51.5081904, -3.1997794 51.5081651, -3.1997309 51.5081308, -3.1996514 51.5080395)",1026.157939313672,27.279279768692973,0.0330678941854132,,,,,,,A
21414398,21414405,0,43386498,trunk,4,30 mph,North Road,True,A470,False,88.56014686249833,,"LINESTRING (-3.1996514 51.5080395, -3.1996441 51.507818, -3.1996351 51.5075549, -3.1996223 51.5074036, -3.1995947 51.5072443)",991.4853539142704,27.24864011588372,0.040560026771575,,,,,,,A
21414405,1371615683,0,24298790,trunk_link,2,30 mph,North Road,True,,False,125.30180063094753,,"LINESTRING (-3.1995947 51.5072443, -3.1994694 51.5071245, -3.1993537 51.5069164, -3.1992176 51.5066691, -3.1991445 51.5065309, -3.1989585 51.5061934)",954.7437001458212,30.405444409456763,0.0316866888309071,,,,,,,A
21414405,27262670,0,"[24298792, 26435480, 1271171696, 26435485]",primary,2,30 mph,North Road,True,A470,False,573.2914925878403,yes,"LINESTRING (-3.1995947 51.5072443, -3.1995857 51.5071138, -3.1993543 51.5066443, -3.198584 51.5051155, -3.198463 51.5048735, -3.1983765 51.5047039, -3.1982955 51.504542, -3.1981352 51.5042266, -3.1976927 51.5033402, -3.1976568 51.5032725, -3.1976116 51.5031921, -3.1975637 51.5031189, -3.1975025 51.5030253, -3.1974478 51.5029471, -3.1974301 51.5029234, -3.1973882 51.5028666, -3.1972554 51.5027101, -3.1971857 51.5026344, -3.1971066 51.5025481, -3.1969127 51.5023915)",1762.1417672291918,27.249839349955923,0.0088733379406679,,,,,,,B
21414414,263216704,0,24298800,primary_link,2,30 mph,,True,,False,100.14743527173468,,"LINESTRING (-3.1970733 51.5023378, -3.1972548 51.5024506, -3.1973338 51.5025248, -3.1974328 51.5026193, -3.1974914 51.5026807, -3.1975487 51.5027386, -3.1976439 51.5028395, -3.1977163 51.5029227, -3.1977909 51.5030221, -3.197838 51.5030948)",1422.614146836244,20.847321340699484,0.0042903216202916,,,,,,,B
21414414,21414420,0,"[1271171697, 26435508, 26435511, 24298839]",primary,2,30 mph,North Road,True,A470,False,539.2043715068862,yes,"LINESTRING (-3.1970733 51.5023378, -3.1973698 51.5026734, -3.1974799 51.5028082, -3.1975503 51.5029013, -3.197639 51.5030235, -3.1976973 51.5031166, -3.1977509 51.5032018, -3.1978144 51.5033159, -3.198263 51.5042086, -3.1984095 51.504499, -3.1984936 51.5046652, -3.1985887 51.5048514, -3.1987051 51.5050857, -3.1994729 51.5066199, -3.199512 51.5067004, -3.1996816 51.5068936)",1796.2288883101455,27.2232152122125,0.0156829673017751,,,,,,,B
