osmid,y,x,street_count,highway,geometry
7735887,51.5042001,-3.1479128,3,,POINT (-3.1479128 51.5042001)
7735912,51.5005001,-3.2068101,3,motorway_junction,POINT (-3.2068101 51.5005001)
21414394,51.5081568,-3.2003887,3,,POINT (-3.2003887 51.5081568)
21414397,51.5082126,-3.2002787,3,,POINT (-3.2002787 51.5082126)
21414398,51.5080395,-3.1996514,3,,POINT (-3.1996514 51.5080395)
21414405,51.5072443,-3.1995947,3,motorway_junction,POINT (-3.1995947 51.5072443)
21414414,51.5023378,-3.1970733,3,motorway_junction,POINT (-3.1970733 51.5023378)
21414420,51.5068936,-3.1996816,3,,POINT (-3.1996816 51.5068936)
21414894,51.4992835,-3.1940752,3,,POINT (-3.1940752 51.4992835)
21414898,51.4951543,-3.1912246,3,,POINT (-3.1912246 51.4951543)
21414900,51.492939,-3.1889414,3,,POINT (-3.1889414 51.492939)
21414906,51.4852398,-3.1823557,3,,POINT (-3.1823557 51.4852398)
21414908,51.4837824,-3.1800903,4,,POINT (-3.1800903 51.4837824)
26488914,51.5077252,-3.200318,3,,POINT (-3.200318 51.5077252)
27258953,51.5056944,-3.1925224,3,motorway_junction,POINT (-3.1925224 51.5056944)
27258956,51.5057806,-3.1924982,3,,POINT (-3.1924982 51.5057806)
27258970,51.5121224,-3.2066041,3,,POINT (-3.2066041 51.5121224)
27258977,51.5053359,-3.198979,3,,POINT (-3.198979 51.5053359)
27262620,51.5042627,-3.1987018,3,,POINT (-3.1987018 51.5042627)
27262623,51.5044539,-3.1977834,3,,POINT (-3.1977834 51.5044539)
27262626,51.5048867,-3.1973904,3,,POINT (-3.1973904 51.5048867)
27262633,51.504768,-3.1974434,3,,POINT (-3.1974434 51.504768)
27262638,51.5052647,-3.1978023,3,,POINT (-3.1978023 51.5052647)
27262640,51.5050002,-3.1989213,3,,POINT (-3.1989213 51.5050002)
27262644,51.5042405,-3.1986176,3,,POINT (-3.1986176 51.5042405)
27262650,51.5045128,-3.1976837,3,,POINT (-3.1976837 51.5045128)
27262656,51.5047259,-3.1990293,3,,POINT (-3.1990293 51.5047259)
27262660,51.5052512,-3.1982988,3,,POINT (-3.1982988 51.5052512)
27262669,51.503475,-3.1976059,3,,POINT (-3.1976059 51.503475)
27262670,51.5023915,-3.1969127,3,,POINT (-3.1969127 51.5023915)
28019456,51.4810062,-3.1846892,3,,POINT (-3.1846892 51.4810062)
30941072,51.4701126,-3.1862236,5,crossing,POINT (-3.1862236 51.4701126)
30941074,51.476752,-3.1876292,4,traffic_signals,POINT (-3.1876292 51.476752)
30943205,51.43939,-3.2041109,3,,POINT (-3.2041109 51.43939)
30943215,51.444893,-3.1983186,4,,POINT (-3.1983186 51.444893)
30943218,51.4454897,-3.1943981,3,,POINT (-3.1943981 51.4454897)
30943648,51.4480469,-3.1896151,3,,POINT (-3.1896151 51.4480469)
30943656,51.4523467,-3.1848457,3,,POINT (-3.1848457 51.4523467)
30943844,51.4480187,-3.1894138,3,,POINT (-3.1894138 51.4480187)
30946467,51.4667023,-3.1664534,4,,POINT (-3.1664534 51.4667023)
30946959,51.4659594,-3.1653015,3,,POINT (-3.1653015 51.4659594)
30946963,51.4673662,-3.1661201,3,,POINT (-3.1661201 51.4673662)
30946964,51.4685048,-3.1669871,3,,POINT (-3.1669871 51.4685048)
30946966,51.470172,-3.1682531,3,,POINT (-3.1682531 51.470172)
30946967,51.4719698,-3.1696139,3,,POINT (-3.1696139 51.4719698)
30946969,51.4733157,-3.170633,3,,POINT (-3.170633 51.4733157)
30946971,51.4747271,-3.1715143,3,,POINT (-3.1715143 51.4747271)
30947286,51.4720162,-3.1694538,4,,POINT (-3.1694538 51.4720162)
30947288,51.4702185,-3.1680906,4,,POINT (-3.1680906 51.4702185)
30947289,51.4685526,-3.1668251,4,,POINT (-3.1668251 51.4685526)
30947290,51.4674107,-3.1659598,4,,POINT (-3.1659598 51.4674107)
30947292,51.4661858,-3.164852,3,crossing,POINT (-3.164852 51.4661858)
30948285,51.4762279,-3.1735216,3,,POINT (-3.1735216 51.4762279)
30948286,51.4770424,-3.1741054,5,,POINT (-3.1741054 51.4770424)
30948287,51.4753315,-3.172869,4,,POINT (-3.172869 51.4753315)
30948288,51.4757735,-3.1732302,4,,POINT (-3.1732302 51.4757735)
