osmid,y,x,street_count,highway,junction,ref,geometry
78112,51.526976,-0.1457924,3,,,,POINT (-0.1457924 51.526976)
99936,51.5236272,-0.1527991,4,,,,POINT (-0.1527991 51.5236272)
99937,51.5230177,-0.1520235,3,,,,POINT (-0.1520235 51.5230177)
101818,51.5351816,-0.148105,3,,,,POINT (-0.148105 51.5351816)
101831,51.5356116,-0.1470438,3,,,,POINT (-0.1470438 51.5356116)
101839,51.5375257,-0.1526543,3,,,,POINT (-0.1526543 51.5375257)
101842,51.534056,-0.1626518,3,,,,POINT (-0.1626518 51.534056)
101843,51.5349445,-0.1636639,4,,,,POINT (-0.1636639 51.5349445)
101851,51.5345117,-0.1644508,3,,,,POINT (-0.1644508 51.5345117)
101852,51.533708,-0.1654554,3,,,,POINT (-0.1654554 51.533708)
101870,51.5296234,-0.1673133,4,,,,POINT (-0.1673133 51.5296234)
101872,51.529917,-0.1678226,3,,,,POINT (-0.1678226 51.529917)
101873,51.5303094,-0.1679015,3,,,,POINT (-0.1679015 51.5303094)
101877,51.5287508,-0.1637075,3,,,,POINT (-0.1637075 51.5287508)
101884,51.5300975,-0.1689662,4,,,,POINT (-0.1689662 51.5300975)
101885,51.5314724,-0.1707281,4,,,,POINT (-0.1707281 51.5314724)
101977,51.545681,-0.1558591,3,,,,POINT (-0.1558591 51.545681)
101982,51.5228787,-0.1462595,3,,,,POINT (-0.1462595 51.5228787)
101986,51.5222839,-0.144392,4,,,,POINT (-0.144392 51.5222839)
101990,51.5205731,-0.1477006,4,,,,POINT (-0.1477006 51.5205731)
101991,51.5216534,-0.1481922,4,,,,POINT (-0.1481922 51.5216534)
101992,51.5213948,-0.1496954,4,,,,POINT (-0.1496954 51.5213948)
101993,51.5203158,-0.1492251,4,,,,POINT (-0.1492251 51.5203158)
101995,51.5199741,-0.1517856,3,,,,POINT (-0.1517856 51.5199741)
101997,51.5190928,-0.1486525,4,,,,POINT (-0.1486525 51.5190928)
101998,51.5193478,-0.147143,4,,,,POINT (-0.147143 51.5193478)
101999,51.5197389,-0.144899,4,,,,POINT (-0.144899 51.5197389)
102000,51.5201085,-0.1427242,4,,,,POINT (-0.1427242 51.5201085)
102003,51.5186021,-0.151614,3,,,,POINT (-0.151614 51.5186021)
102005,51.5188997,-0.1421844,4,,,,POINT (-0.1421844 51.5188997)
102010,51.5168105,-0.152141,3,,,,POINT (-0.152141 51.5168105)
102013,51.5169555,-0.1531524,3,,,,POINT (-0.1531524 51.5169555)
102018,51.5178495,-0.1528179,3,,,,POINT (-0.1528179 51.5178495)
102020,51.5174367,-0.1553969,4,,,,POINT (-0.1553969 51.5174367)
102025,51.5194543,-0.1563016,4,,,,POINT (-0.1563016 51.5194543)
102030,51.5170808,-0.1575332,4,,,,POINT (-0.1575332 51.5170808)
102031,51.5199153,-0.1588065,4,,,,POINT (-0.1588065 51.5199153)
102032,51.5168366,-0.1590344,4,,,,POINT (-0.1590344 51.5168366)
102035,51.5152782,-0.161336,4,,,,POINT (-0.161336 51.5152782)
102036,51.5202521,-0.1605494,4,,,,POINT (-0.1605494 51.5202521)
102037,51.5163695,-0.1617749,4,,,,POINT (-0.1617749 51.5163695)
102041,51.5147811,-0.1580474,3,,,,POINT (-0.1580474 51.5147811)
102043,51.5143055,-0.1669807,3,,,,POINT (-0.1669807 51.5143055)
102046,51.5130753,-0.1619405,3,,,,POINT (-0.1619405 51.5130753)
102047,51.5131735,-0.1607152,3,,,,POINT (-0.1607152 51.5131735)
102052,51.5126068,-0.1588714,3,,,,POINT (-0.1588714 51.5126068)
102053,51.5130754,-0.1582,3,,,,POINT (-0.1582 51.5130754)
102054,51.5133776,-0.1587245,3,,,,POINT (-0.1587245 51.5133776)
102057,51.5124109,-0.160633,3,,,,POINT (-0.160633 51.5124109)
102058,51.514123,-0.1680884,3,,,,POINT (-0.1680884 51.514123)
102059,51.5139413,-0.1680391,3,mini_roundabout,,,POINT (-0.1680391 51.5139413)
102061,51.5135818,-0.1715503,4,mini_roundabout,,,POINT (-0.1715503 51.5135818)
102062,51.5130476,-0.1724839,3,,,,POINT (-0.1724839 51.5130476)
103928,51.5261127,-0.1457602,3,,,,POINT (-0.1457602 51.5261127)
104302,51.5203679,-0.1303251,4,,,,POINT (-0.1303251 51.5203679)
104309,51.5234828,-0.1149355,3,,,,POINT (-0.1149355 51.5234828)
104310,51.5229862,-0.1145024,3,,,,POINT (-0.1145024 51.5229862)
104312,51.5215137,-0.11332,4,,,,POINT (-0.11332 51.5215137)
104315,51.5181757,-0.1113814,4,,,,POINT (-0.1113814 51.5181757)
104318,51.5162301,-0.1019241,3,,,,POINT (-0.1019241 51.5162301)
104321,51.5142176,-0.0947411,3,,,,POINT (-0.0947411 51.5142176)
104322,51.513823,-0.0923294,4,,,,POINT (-0.0923294 51.513823)
104396,51.4924215,-0.1216583,4,,,,POINT (-0.1216583 51.4924215)
104397,51.4964175,-0.1508442,4,,,,POINT (-0.1508442 51.4964175)
104399,51.4973663,-0.1522535,4,,,,POINT (-0.1522535 51.4973663)
104412,51.5248665,-0.1655652,4,,,,POINT (-0.1655652 51.5248665)
104414,51.5259091,-0.1616461,3,,,,POINT (-0.1616461 51.5259091)
105511,51.5199952,-0.1434045,4,,,,POINT (-0.1434045 51.5199952)
106201,51.5277032,-0.1443147,3,,,,POINT (-0.1443147 51.5277032)
106203,51.5256574,-0.1442502,3,,,,POINT (-0.1442502 51.5256574)
106211,51.5230044,-0.1366401,4,,,,POINT (-0.1366401 51.5230044)
106213,51.525659,-0.1429581,4,,,,POINT (-0.1429581 51.525659)
106734,51.5094746,-0.0604942,4,,,,POINT (-0.0604942 51.5094746)
106735,51.5209607,-0.0561812,3,,,,POINT (-0.0561812 51.5209607)
106784,51.5160737,-0.057168,3,,,,POINT (-0.057168 51.5160737)
106785,51.5168964,-0.0572145,4,,,,POINT (-0.0572145 51.5168964)
106807,51.5215194,-0.0594425,3,,,,POINT (-0.0594425 51.5215194)
106817,51.5264619,-0.0646221,4,,,,POINT (-0.0646221 51.5264619)
106818,51.526905,-0.0605642,3,,,,POINT (-0.0605642 51.526905)
106824,51.5279498,-0.067098,4,,,,POINT (-0.067098 51.5279498)
106825,51.5282778,-0.0653679,3,,,,POINT (-0.0653679 51.5282778)
106831,51.5281599,-0.0744799,3,,,,POINT (-0.0744799 51.5281599)
106834,51.5259282,-0.0738455,3,,,,POINT (-0.0738455 51.5259282)
106839,51.5271833,-0.0780493,4,,,,POINT (-0.0780493 51.5271833)
106840,51.5283703,-0.0756893,4,,,,POINT (-0.0756893 51.5283703)
106841,51.528765,-0.0778563,3,,,,POINT (-0.0778563 51.528765)
106842,51.5172762,-0.0624609,4,,,,POINT (-0.0624609 51.5172762)
106844,51.5169301,-0.0666857,3,,,,POINT (-0.0666857 51.5169301)
106848,51.5202259,-0.0744654,4,,,,POINT (-0.0744654 51.5202259)
106855,51.5237216,-0.0792802,4,,,,POINT (-0.0792802 51.5237216)
106860,51.5279657,-0.0779717,3,,,,POINT (-0.0779717 51.5279657)
106861,51.5279819,-0.0801201,3,,,,POINT (-0.0801201 51.5279819)
106863,51.5286281,-0.0835907,3,,,,POINT (-0.0835907 51.5286281)
106867,51.5296624,-0.0800929,3,,,,POINT (-0.0800929 51.5296624)
106868,51.5308505,-0.0801919,3,,,,POINT (-0.0801919 51.5308505)
106869,51.5327215,-0.0801263,3,,,,POINT (-0.0801263 51.5327215)
106874,51.5328591,-0.0872875,3,,,,POINT (-0.0872875 51.5328591)
106876,51.5316975,-0.0865035,4,,,,POINT (-0.0865035 51.5316975)
106877,51.5312159,-0.0862938,4,,,,POINT (-0.0862938 51.5312159)
106881,51.5274486,-0.088807,3,,,,POINT (-0.088807 51.5274486)
106891,51.5343006,-0.0911726,3,,,,POINT (-0.0911726 51.5343006)
106969,51.5110419,-0.0609999,4,,,,POINT (-0.0609999 51.5110419)
106973,51.5107125,-0.0693965,3,,,,POINT (-0.0693965 51.5107125)
106974,51.5111129,-0.0641037,3,,,,POINT (-0.0641037 51.5111129)
106976,51.5147608,-0.0619093,4,,,,POINT (-0.0619093 51.5147608)
107001,51.5382716,-0.0613971,3,,,,POINT (-0.0613971 51.5382716)
107002,51.5384329,-0.0619103,3,mini_roundabout,,,POINT (-0.0619103 51.5384329)
107003,51.5396035,-0.0626668,3,,,,POINT (-0.0626668 51.5396035)
107009,51.5394347,-0.0674854,3,,,,POINT (-0.0674854 51.5394347)
107010,51.5393831,-0.0701937,4,,,,POINT (-0.0701937 51.5393831)
107016,51.5403238,-0.0631512,3,,,,POINT (-0.0631512 51.5403238)
107021,51.5388245,-0.0734932,3,,,,POINT (-0.0734932 51.5388245)
107030,51.5430883,-0.0911938,3,,,,POINT (-0.0911938 51.5430883)
107031,51.5435783,-0.0904968,3,,,,POINT (-0.0904968 51.5435783)
107032,51.5443608,-0.0919334,3,,,,POINT (-0.0919334 51.5443608)
107037,51.5364472,-0.0889878,3,,,,POINT (-0.0889878 51.5364472)
107043,51.540634,-0.0958163,4,,,,POINT (-0.0958163 51.540634)
107044,51.5396595,-0.0974229,3,,,,POINT (-0.0974229 51.5396595)
107048,51.5387187,-0.092663,3,,,,POINT (-0.092663 51.5387187)
107053,51.536218,-0.0966141,3,,,,POINT (-0.0966141 51.536218)
107056,51.5368179,-0.0956482,3,,,,POINT (-0.0956482 51.5368179)
107059,51.5370075,-0.0932125,4,,,,POINT (-0.0932125 51.5370075)
107060,51.5363798,-0.0925224,4,,,,POINT (-0.0925224 51.5363798)
107070,51.5369563,-0.0988515,3,,,,POINT (-0.0988515 51.5369563)
107073,51.5389754,-0.0985221,3,,,,POINT (-0.0985221 51.5389754)
107081,51.5403528,-0.1092944,3,,,,POINT (-0.1092944 51.5403528)
107087,51.5395127,-0.1024369,3,,,,POINT (-0.1024369 51.5395127)
107089,51.5377432,-0.102716,3,,,,POINT (-0.102716 51.5377432)
107090,51.5371513,-0.1007659,3,,,,POINT (-0.1007659 51.5371513)
