u,v,key,osmid,bridge,highway,lanes,oneway,reversed,length,maxspeed,geometry,Inverse SP,Cost of return,Edge Betweenness,name,ref,tunnel,access,width,junction,Groups
653744,348127029,0,"[635808561, 31290321, 148385717, 399296313]",yes,motorway_link,"['2', '1']",True,False,448.94482687004535,40 mph,"LINESTRING (-118.2572282 34.030077, -118.2564312 34.0295714, -118.2561328 34.0293856, -118.2560163 34.0293055, -118.2558985 34.0292237, -118.2554559 34.0288541, -118.2551747 34.0286757, -118.2546884 34.0284362, -118.2541146 34.0281537, -118.2538059 34.0280018, -118.2533157 34.0276938)",1794.8117189921024,19.5329204727842,0.0008898284132219,,,,,,,A
653744,1614922693,0,"[124165056, 867327565]",yes,motorway,"['4', '5']",True,False,626.6627797377191,55 mph,"LINESTRING (-118.2572282 34.030077, -118.2568688 34.029913, -118.2565228 34.0297434, -118.2558444 34.0293848, -118.2515045 34.0270361)",2863.8473811819867,23.71196577722497,0.0026039461353128,Santa Monica Freeway,I 10,,,,,A
653766,317645238,0,"[148397201, 148252613, 148252606]",yes,motorway,5,True,False,517.846703728171,55 mph,"LINESTRING (-118.2189695 34.0405274, -118.2193338 34.0399103, -118.2195242 34.0395003, -118.2196476 34.0391735, -118.2197455 34.0388312, -118.2198555 34.0384967, -118.2200454 34.0378889, -118.22026 34.0372888, -118.2205215 34.0366575, -118.2207768 34.0361296)",3227.5307950037936,26.56651626882122,0.0160610152618022,Golden State Freeway,I 5;I 10,,,,,A
653772,269459515,0,35737766,yes,motorway_link,2,True,False,690.6820297829084,,"LINESTRING (-118.2139046 34.0511029, -118.2138454 34.0518395, -118.2138085 34.0528499, -118.2137873 34.0530057, -118.2137475 34.0531662, -118.2136658 34.0533698, -118.2135309 34.0535954, -118.2134002 34.0537569, -118.213229 34.0539243, -118.2131159 34.05401, -118.212973 34.054102, -118.212846 34.0541725, -118.212696 34.054241, -118.2124626 34.0543238, -118.2121647 34.0543945, -118.2119119 34.0544162, -118.2117423 34.0544189, -118.211546 34.0544083, -118.2113784 34.0543829, -118.2112221 34.0543518, -118.2107563 34.0542518, -118.2095284 34.0539475)",3523.152164544783,31.12650499679107,0.0002403687760901,,I 10,,,,,A
653772,269459296,0,"[148252594, 148252604, 29687814, 29687815]",yes,motorway,4,True,False,504.8526052200369,"['65 mph', '55 mph']","LINESTRING (-118.2139046 34.0511029, -118.2140328 34.0540751, -118.2140458 34.0544011, -118.2140595 34.0548415, -118.2140908 34.0556405)",5563.907133735791,32.239752296306435,0.0041129898857188,Golden State Freeway,I 5,,,,,A
14798411,17737739,0,4386491,,tertiary,,False,False,116.12415765595148,,"LINESTRING (-118.2156947 34.0765136, -118.2155812 34.0764963, -118.2155747 34.0764962, -118.2148336 34.0765086, -118.214436 34.0765146)",116.12415765595148,1.8544562015140231,0.0005877377745198,Avenue 26,,,,,,B
14798411,279072762,0,"[185887376, 185887377, 686423544, 398404544]",,secondary,"['2', '3']",False,False,318.6880507921386,35 mph,"LINESTRING (-118.2156947 34.0765136, -118.2155988 34.0767991, -118.2155889 34.076827, -118.2155631 34.0769002, -118.215378 34.0774568, -118.2153599 34.0775106, -118.2152787 34.0777523, -118.2151892 34.078019, -118.2151354 34.0781995, -118.2149565 34.078799, -118.2149098 34.0790219, -118.2149008 34.0790526, -118.2148254 34.0792866)",318.68805079213865,1.8039697286117984,0.0022053086439618,Pasadena Avenue,,,,,,B
14798411,27062259,0,390797519,,secondary,5,False,True,74.99062003365162,35 mph,"LINESTRING (-118.2156947 34.0765136, -118.2158736 34.0764813, -118.2159366 34.0764704, -118.2160847 34.0764177, -118.2163034 34.0763222, -118.2164435 34.0762611)",74.99062003365162,1.8422945168033893,0.0026254988694504,Pasadena Avenue,,,,,,B
14798411,16588311,0,"[398404000, 398404001, 398403999]",,primary,"['4', '5']",False,False,319.70001328959177,30 mph,"LINESTRING (-118.2156947 34.0765136, -118.2157067 34.0764091, -118.2157062 34.0763883, -118.215699 34.0760771, -118.2156975 34.076012, -118.2156947 34.0758938, -118.215693 34.0758188, -118.2156857 34.0752229, -118.2156785 34.0750465, -118.2156628 34.0746275, -118.2156579 34.074531, -118.2156528 34.0742862, -118.2156495 34.0741739, -118.2156479 34.0741205, -118.2156338 34.0736397)",319.70001328959177,1.9786771905756853,0.000832276153127,Daly Street,,,,,,B
14798411,123473364,0,1343625048,,primary,4,False,True,255.33422537,30 mph,"LINESTRING (-118.2156947 34.0765136, -118.2157619 34.0767909, -118.2157953 34.0768284, -118.2165858 34.0777163, -118.2172046 34.0784114)",255.33422537,1.8377021311481287,0.0004193093235483,Avenue 26,,,,,,B
