osmid,y,x,highway,ref,street_count,railway,geometry
653744,34.030077,-118.2572282,motorway_junction,14B,3,,POINT (-118.2572282 34.030077)
653766,34.0405274,-118.2189695,,,3,,POINT (-118.2189695 34.0405274)
653772,34.0511029,-118.2139046,motorway_junction,135C,3,,POINT (-118.2139046 34.0511029)
14798411,34.0765136,-118.2156947,traffic_signals,,5,,POINT (-118.2156947 34.0765136)
14798419,34.0765422,-118.2118339,traffic_signals,,3,,POINT (-118.2118339 34.0765422)
14798642,34.0660207,-118.2115616,traffic_signals,,4,,POINT (-118.2115616 34.0660207)
14854413,34.0736942,-118.2117169,traffic_signals,,4,,POINT (-118.2117169 34.0736942)
14940283,34.0781305,-118.2631482,,,3,,POINT (-118.2631482 34.0781305)
14940287,34.0453296,-118.2842107,traffic_signals,,3,,POINT (-118.2842107 34.0453296)
14940433,34.0381152,-118.2840207,traffic_signals,,4,,POINT (-118.2840207 34.0381152)
14940434,34.0381727,-118.2858251,traffic_signals,,4,,POINT (-118.2858251 34.0381727)
14941347,34.0627814,-118.2112008,traffic_signals,,4,,POINT (-118.2112008 34.0627814)
14941348,34.0598451,-118.2153459,traffic_signals,,4,,POINT (-118.2153459 34.0598451)
14941481,34.0594203,-118.2046525,stop,,3,,POINT (-118.2046525 34.0594203)
14941501,34.0634889,-118.2028134,,,4,,POINT (-118.2028134 34.0634889)
14941504,34.0644954,-118.1967293,traffic_signals,,3,,POINT (-118.1967293 34.0644954)
14941693,34.0659816,-118.2154498,traffic_signals,,4,,POINT (-118.2154498 34.0659816)
14943097,34.0647152,-118.2077926,,,3,,POINT (-118.2077926 34.0647152)
14966389,34.078606,-118.2173673,,,3,,POINT (-118.2173673 34.078606)
14966391,34.0797537,-118.2169931,,,3,,POINT (-118.2169931 34.0797537)
15027548,34.0761201,-118.2237941,,,3,,POINT (-118.2237941 34.0761201)
15027549,34.0737247,-118.2222993,traffic_signals,,4,,POINT (-118.2222993 34.0737247)
15027552,34.0742235,-118.2211428,traffic_signals,,4,,POINT (-118.2211428 34.0742235)
15068250,34.0563844,-118.2017439,traffic_signals,,5,,POINT (-118.2017439 34.0563844)
15068251,34.0406024,-118.2117564,traffic_signals,,4,,POINT (-118.2117564 34.0406024)
15068253,34.043125,-118.217611,traffic_signals,,4,,POINT (-118.217611 34.043125)
15289719,34.0546657,-118.2029178,traffic_signals,,4,,POINT (-118.2029178 34.0546657)
15373638,34.0578312,-118.2101783,traffic_signals,,3,,POINT (-118.2101783 34.0578312)
15373745,34.0596324,-118.2051361,,,3,,POINT (-118.2051361 34.0596324)
15373749,34.0577808,-118.2049655,,,3,,POINT (-118.2049655 34.0577808)
15380188,34.0598866,-118.2518519,motorway_junction,24A,3,,POINT (-118.2518519 34.0598866)
15380821,34.0441645,-118.275876,,,3,,POINT (-118.275876 34.0441645)
15713360,34.0752286,-118.2188388,traffic_signals,,4,,POINT (-118.2188388 34.0752286)
15713361,34.0747283,-118.2200014,traffic_signals,,4,,POINT (-118.2200014 34.0747283)
15713362,34.0721412,-118.2212974,traffic_signals,,4,,POINT (-118.2212974 34.0721412)
15713713,34.0430492,-118.219629,traffic_signals,,4,,POINT (-118.219629 34.0430492)
15715635,34.0555757,-118.2116163,,,3,,POINT (-118.2116163 34.0555757)
15717255,34.051189,-118.2176077,traffic_signals,,4,,POINT (-118.2176077 34.051189)
15717259,34.055566,-118.2376287,,,3,,POINT (-118.2376287 34.055566)
15717265,34.0695423,-118.2273111,traffic_signals,,4,,POINT (-118.2273111 34.0695423)
15717266,34.0716481,-118.2224606,traffic_signals,,5,,POINT (-118.2224606 34.0716481)
15717267,34.0728296,-118.2197075,traffic_signals,,4,,POINT (-118.2197075 34.0728296)
15717274,34.0710023,-118.2301709,traffic_signals,,3,,POINT (-118.2301709 34.0710023)
16203355,34.0687257,-118.2191304,,,3,,POINT (-118.2191304 34.0687257)
16203357,34.0685835,-118.2194394,,,3,,POINT (-118.2194394 34.0685835)
16203358,34.0661211,-118.2194247,,,3,,POINT (-118.2194247 34.0661211)
16391209,34.0172908,-118.220057,traffic_signals,,4,,POINT (-118.220057 34.0172908)
16391230,34.0211272,-118.2302041,traffic_signals,,4,,POINT (-118.2302041 34.0211272)
16391235,34.0266368,-118.2299414,traffic_signals,,4,,POINT (-118.2299414 34.0266368)
16391285,34.0345726,-118.2300825,traffic_signals,,4,,POINT (-118.2300825 34.0345726)
16391290,34.0334362,-118.2195878,traffic_signals,,4,,POINT (-118.2195878 34.0334362)
16582687,34.049988,-118.2225479,motorway_junction,1D,3,,POINT (-118.2225479 34.049988)
16588311,34.0736397,-118.2156338,traffic_signals,,4,,POINT (-118.2156338 34.0736397)
16588314,34.0735967,-118.2178362,traffic_signals,,4,,POINT (-118.2178362 34.0735967)
16941220,34.0706951,-118.218933,,,3,,POINT (-118.218933 34.0706951)
16941223,34.0675036,-118.2181658,,,4,,POINT (-118.2181658 34.0675036)
16941224,34.0659564,-118.2181369,traffic_signals,,3,,POINT (-118.2181369 34.0659564)
16941226,34.0726378,-118.2201512,traffic_signals,,4,,POINT (-118.2201512 34.0726378)
17597297,34.0805712,-118.2616541,traffic_signals,,4,,POINT (-118.2616541 34.0805712)
17677673,34.0636451,-118.2360816,,,3,,POINT (-118.2360816 34.0636451)
17737739,34.0765146,-118.214436,stop,,4,,POINT (-118.214436 34.0765146)
17737741,34.0659944,-118.2141734,traffic_signals,,4,,POINT (-118.2141734 34.0659944)
18166164,34.0726325,-118.2840616,,,3,,POINT (-118.2840616 34.0726325)
18166166,34.0563993,-118.2498645,traffic_signals,,5,,POINT (-118.2498645 34.0563993)
18166168,34.0543334,-118.2466077,traffic_signals,,4,,POINT (-118.2466077 34.0543334)
18166169,34.0536398,-118.2455373,traffic_signals,,4,,POINT (-118.2455373 34.0536398)
18166171,34.0557227,-118.243595,traffic_signals,,4,,POINT (-118.243595 34.0557227)
18166174,34.0603398,-118.2393311,traffic_signals,,4,,POINT (-118.2393311 34.0603398)
18166944,34.0666869,-118.2703272,traffic_signals,,4,,POINT (-118.2703272 34.0666869)
18167302,34.0736589,-118.2143806,traffic_signals,,4,,POINT (-118.2143806 34.0736589)
18453011,34.0786925,-118.2028441,,,4,,POINT (-118.2028441 34.0786925)
18453030,34.0737918,-118.2052134,traffic_signals,,4,,POINT (-118.2052134 34.0737918)
18453031,34.0736754,-118.2130659,traffic_signals,,4,,POINT (-118.2130659 34.0736754)
18453032,34.076529,-118.213126,stop,,4,,POINT (-118.213126 34.076529)
