osmid,y,x,highway,street_count,ref,junction,geometry
171946,40.4212466,-3.6844432,traffic_signals,3,,,POINT (-3.6844432 40.4212466)
171951,40.4173597,-3.6889892,,4,,,POINT (-3.6889892 40.4173597)
171952,40.4149907,-3.6889805,,3,,,POINT (-3.6889805 40.4149907)
171953,40.4127748,-3.6889012,,4,,,POINT (-3.6889012 40.4127748)
171954,40.4094693,-3.6887986,,3,,,POINT (-3.6887986 40.4094693)
20953196,40.42323,-3.7223004,,3,,,POINT (-3.7223004 40.42323)
20953197,40.4249877,-3.7244864,,3,,,POINT (-3.7244864 40.4249877)
20953217,40.4245287,-3.7251148,,3,,,POINT (-3.7251148 40.4245287)
20953221,40.4227481,-3.7217065,,3,,,POINT (-3.7217065 40.4227481)
20953226,40.420321,-3.7061012,,4,,,POINT (-3.7061012 40.420321)
20953234,40.4188461,-3.6958387,,3,,,POINT (-3.6958387 40.4188461)
20953240,40.4196293,-3.6885376,,3,,,POINT (-3.6885376 40.4196293)
20953243,40.4204657,-3.6860513,,3,,,POINT (-3.6860513 40.4204657)
20953244,40.4206574,-3.6850969,,3,,,POINT (-3.6850969 40.4206574)
20953247,40.4205047,-3.6667348,,3,,,POINT (-3.6667348 40.4205047)
20953250,40.4197584,-3.6635938,motorway_junction,3,1A,,POINT (-3.6635938 40.4197584)
21473035,40.4253229,-3.7260253,,3,,,POINT (-3.7260253 40.4253229)
21473036,40.4257993,-3.7265672,,3,,,POINT (-3.7265672 40.4257993)
21473041,40.4290448,-3.7299315,,3,,,POINT (-3.7299315 40.4290448)
21473043,40.4299343,-3.7308012,,3,,,POINT (-3.7308012 40.4299343)
21473047,40.4317146,-3.7321876,,3,,,POINT (-3.7321876 40.4317146)
21473053,40.439538,-3.7384356,,3,,,POINT (-3.7384356 40.439538)
21473073,40.4427784,-3.7390996,motorway_junction,3,,,POINT (-3.7390996 40.4427784)
21473217,40.4471277,-3.6621631,motorway_junction,3,5AB,,POINT (-3.6621631 40.4471277)
21473220,40.4446589,-3.6609885,,3,,,POINT (-3.6609885 40.4446589)
21473226,40.4420639,-3.6598038,,3,,,POINT (-3.6598038 40.4420639)
21473229,40.4407081,-3.6595199,motorway_junction,3,6A,,POINT (-3.6595199 40.4407081)
21473233,40.4394984,-3.6594995,,3,,yes,POINT (-3.6594995 40.4394984)
21473235,40.4370838,-3.6598715,,3,,,POINT (-3.6598715 40.4370838)
21473238,40.4358537,-3.6601439,motorway_junction,3,6B,,POINT (-3.6601439 40.4358537)
21473251,40.4272005,-3.6605356,,3,,,POINT (-3.6605356 40.4272005)
21473253,40.4255932,-3.660163,motorway_junction,3,,,POINT (-3.660163 40.4255932)
21473261,40.4177729,-3.6592237,,3,,,POINT (-3.6592237 40.4177729)
21473269,40.4125399,-3.6622871,motorway_junction,3,8A,,POINT (-3.6622871 40.4125399)
21473273,40.4441661,-3.6741536,,3,,,POINT (-3.6741536 40.4441661)
21473274,40.4464688,-3.6705691,,3,,,POINT (-3.6705691 40.4464688)
21473275,40.4492125,-3.6663555,,4,,,POINT (-3.6663555 40.4492125)
21473276,40.4504171,-3.6649151,,4,,,POINT (-3.6649151 40.4504171)
21473278,40.447977,-3.6685325,,3,,,POINT (-3.6685325 40.447977)
21525900,40.4188238,-3.6606418,,3,,,POINT (-3.6606418 40.4188238)
21525909,40.4162844,-3.6599355,,4,,,POINT (-3.6599355 40.4162844)
21525925,40.4186743,-3.6591917,,3,,,POINT (-3.6591917 40.4186743)
21527321,40.4215943,-3.6799577,,5,,,POINT (-3.6799577 40.4215943)
21627141,40.4114588,-3.6764079,,3,,,POINT (-3.6764079 40.4114588)
21627142,40.4094044,-3.6775202,,3,,,POINT (-3.6775202 40.4094044)
21627143,40.410962,-3.6764507,,3,,,POINT (-3.6764507 40.410962)
21627149,40.4096055,-3.6885945,,3,,,POINT (-3.6885945 40.4096055)
21627165,40.4264961,-3.6876472,,4,,,POINT (-3.6876472 40.4264961)
21627171,40.4180066,-3.66934,traffic_signals,4,,,POINT (-3.66934 40.4180066)
21627172,40.417853,-3.6693478,,3,,,POINT (-3.6693478 40.417853)
21627175,40.4183296,-3.6762399,,4,,,POINT (-3.6762399 40.4183296)
21627176,40.4181854,-3.6762526,,4,,,POINT (-3.6762526 40.4181854)
21627177,40.4215035,-3.6759994,,4,,,POINT (-3.6759994 40.4215035)
21627179,40.4164373,-3.6694718,,4,,,POINT (-3.6694718 40.4164373)
21627180,40.416864,-3.6763536,,4,,,POINT (-3.6763536 40.416864)
21627181,40.4184265,-3.6778162,,4,,,POINT (-3.6778162 40.4184265)
