u,v,key,osmid,highway,lanes,maxspeed,name,oneway,reversed,length,geometry,Inverse SP,Cost of return,Edge Betweenness,access,ref,tunnel,bridge,width,junction,Groups
42421769,42443347,0,195743159,primary,3,25 mph,Columbus Avenue,True,False,86.01085340862146,"LINESTRING (-73.9750067 40.7826383, -73.9750368 40.7825978, -73.9754275 40.7820554, -73.9754991 40.7819606)",630.4460139670678,4.747804267293329,0.0020461655424759,,,,,,,B
42421772,42421769,0,5668968,residential,2,,West 80th Street,True,False,271.7017452995124,"LINESTRING (-73.9778254 40.783828, -73.9777095 40.783779, -73.9751186 40.7826855, -73.9750067 40.7826383)",444.7551220761768,4.745484173889295,0.0005172497994864,,,,,,,C
42421772,42442469,0,"[1025731514, 195743132]",primary,"['3', '4']",,Amsterdam Avenue,True,False,81.61915885499333,"LINESTRING (-73.9778254 40.783828, -73.9777779 40.783893, -73.9775743 40.7841721, -73.977474 40.78431, -73.977396 40.7844124, -73.9773536 40.7844692)",795.6822777108393,7.944620722442571,0.0008915104351566,,,,,,,B
42421800,42435308,0,542215780,secondary,4,25 mph,Central Park West,False,True,80.57150854434367,"LINESTRING (-73.9703125 40.7839869, -73.9703541 40.7839304, -73.9707295 40.7834159, -73.9707756 40.7833528)",80.57150854434367,1.2625551791502576,0.0002422480620155,,,,,,,B
42421828,42430942,0,194923763,tertiary,2,20 mph,East 10th Street,False,False,101.19095465618736,"LINESTRING (-73.9762137 40.725334, -73.9753393 40.7249648, -73.9752604 40.7249279, -73.9751696 40.7248848)",101.19095465618736,1.3442519217919222,0.0003007703100963,,,,,,,B
42421828,42430938,0,194923763,tertiary,2,20 mph,East 10th Street,False,True,127.40661105144436,"LINESTRING (-73.9762137 40.725334, -73.9773483 40.725812, -73.9773818 40.7258263, -73.9774334 40.7258437, -73.9775411 40.7258818)",127.40661105144436,1.823321521657708,0.0003801891683243,,,,,,,B
42421877,42421889,0,"[5668989, 1032454983]",residential,"['1', '2']",25 mph,West 9th Street,True,False,310.92199019167185,"LINESTRING (-73.9959296 40.7328696, -73.9960197 40.7329068, -73.9987019 40.7340344, -73.9989519 40.7341362, -73.9989743 40.734145, -73.9989906 40.7341503, -73.9990116 40.7341556, -73.9990365 40.7341578, -73.9990542 40.7341577, -73.9990771 40.7341576, -73.9990963 40.734156, -73.9991816 40.7341463)",462.4031881578368,5.300133459840517,0.0101075611918487,,,,,,,C
42421877,42437949,0,889114527,secondary,2,25 mph,5th Avenue,True,False,77.14403507117763,"LINESTRING (-73.9959296 40.7328696, -73.9959703 40.7328024, -73.9959844 40.732781, -73.9961089 40.7326079, -73.9961832 40.7325068, -73.9962831 40.7323687, -73.9963205 40.732317, -73.9963683 40.7322611)",384.3537885503015,5.213306255250094,0.0087517468626909,,,,,,,B
42421889,42432191,0,24264114,residential,,25 mph,Christopher Street,True,False,42.12075670022354,"LINESTRING (-73.9991816 40.7341463, -73.9993535 40.7341229, -73.9994849 40.734103, -73.9995531 40.7340961, -73.9996733 40.7340784)",108.81526391455446,3.1442164974311977,0.0098508733374281,,,,,,,C
42421889,42430241,0,451905565,secondary,3,25 mph,6th Avenue,True,False,81.50372482347102,"LINESTRING (-73.9991816 40.7341463, -73.9991288 40.7342185, -73.9987633 40.7347164, -73.9987127 40.7347874)",691.8214535260377,5.434741971301191,0.0068422310629753,,,,,,,B
42421969,5706568625,0,709355577,secondary,2,25 mph,Central Park West,True,False,79.92365293207123,"LINESTRING (-73.9810586 40.7692956, -73.9810148 40.7693514, -73.9806229 40.7698597, -73.9805837 40.7699178)",364.5367059795591,8.406501279638588,0.0048467808889464,,,,,,,B
42421972,1061531777,0,542371971,residential,,,West 61st Street,True,False,21.55917721137748,"LINESTRING (-73.982236 40.7697925, -73.9820135 40.7696966)",203.2134150774075,5.234936081265148,0.0002862718193481,,,,,,,C
42421972,42428570,0,835176555,primary,4,25 mph,Broadway,True,False,93.68743635090745,"LINESTRING (-73.982236 40.7697925, -73.9822319 40.7697071, -73.9822028 40.7690587, -73.9822001 40.7689504)",643.7410002587646,12.126147305934213,0.0189607974897771,,,,,,,B
42421974,42421972,0,"[5669002, 1197066228]",residential,2,,West 61st Street,True,False,156.6420678377957,"LINESTRING (-73.9838597 40.7704797, -73.9837336 40.7704258, -73.9835227 40.7703356, -73.9834546 40.7703081, -73.9833897 40.7702807, -73.9832922 40.7702395, -73.9828614 40.7700572, -73.9823912 40.7698582, -73.98235 40.7698395, -73.982236 40.7697925)",323.84247318618407,8.510018848457289,0.0011204339732861,,,,,,,C
42421974,1241742627,0,938601996,primary,3,25 mph,Columbus Avenue,True,False,79.99102723435972,"LINESTRING (-73.9838597 40.7704797, -73.9839039 40.7704196, -73.9840869 40.7701696, -73.9842524 40.7699435, -73.9843204 40.7698506)",777.2093756491339,8.743706815148514,0.0061248786118264,yes,,,,,,B
42421982,7050687060,0,5671056,primary,3,25 mph,Amsterdam Avenue,True,False,78.78386786545938,"LINESTRING (-73.986677 40.7716605, -73.9866329 40.7717189, -73.986278 40.7722069, -73.9862242 40.7722805)",778.4165350180342,8.694860821720665,0.0061190087775154,,,,,,,B
42421982,2974462027,0,"[5669004, 809013919]",residential,2,25 mph,West 61st Street,False,True,80.34603775364542,"LINESTRING (-73.986677 40.7716605, -73.9865657 40.7716133, -73.9862522 40.7714807, -73.9859786 40.7713667, -73.9859388 40.7712531)",80.34603775364542,1.5118329489031226,0.0002422480620155,,,,,,,C
42421985,42421982,0,46525011,tertiary,1,,West 61st Street,True,False,275.7305817526065,"LINESTRING (-73.9895402 40.7728633, -73.9894102 40.7728129, -73.9889002 40.772598, -73.9888292 40.7725673, -73.9883987 40.7723831, -73.9881833 40.7722921, -73.9874926 40.7720002, -73.9874241 40.771972, -73.9868399 40.7717261, -73.986677 40.7716605)",1076.133130300368,12.065855453870745,0.0002477070079247,,,,,,,B
