osmid,y,x,highway,street_count,ref,junction,geometry
42421769,40.7826383,-73.9750067,traffic_signals,3,,,POINT (-73.9750067 40.7826383)
42421772,40.783828,-73.9778254,traffic_signals,4,,,POINT (-73.9778254 40.783828)
42421800,40.7839869,-73.9703125,traffic_signals,3,,,POINT (-73.9703125 40.7839869)
42421828,40.725334,-73.9762137,,3,,,POINT (-73.9762137 40.725334)
42421877,40.7328696,-73.9959296,,4,,,POINT (-73.9959296 40.7328696)
42421889,40.7341463,-73.9991816,traffic_signals,4,,,POINT (-73.9991816 40.7341463)
42421969,40.7692956,-73.9810586,traffic_signals,3,,,POINT (-73.9810586 40.7692956)
42421972,40.7697925,-73.982236,traffic_signals,4,,,POINT (-73.982236 40.7697925)
42421974,40.7704797,-73.9838597,traffic_signals,3,,,POINT (-73.9838597 40.7704797)
42421982,40.7716605,-73.986677,traffic_signals,4,,,POINT (-73.986677 40.7716605)
42421985,40.7728633,-73.9895402,traffic_signals,4,,,POINT (-73.9895402 40.7728633)
42422028,40.7110047,-74.0143969,traffic_signals,3,,,POINT (-74.0143969 40.7110047)
42422258,40.7482041,-74.0074153,,3,,,POINT (-74.0074153 40.7482041)
42422509,40.7381466,-73.9736517,,3,,,POINT (-73.9736517 40.7381466)
42422899,40.7456883,-73.9721236,traffic_signals,4,,,POINT (-73.9721236 40.7456883)
42423020,40.7460796,-73.9749393,traffic_signals,5,,,POINT (-73.9749393 40.7460796)
42423039,40.7163982,-73.9757407,,3,,,POINT (-73.9757407 40.7163982)
42423051,40.718847,-73.9748036,traffic_signals,4,,,POINT (-73.9748036 40.718847)
42423295,40.7132542,-73.9775923,traffic_signals,4,,,POINT (-73.9775923 40.7132542)
42423456,40.7237914,-74.006113,traffic_signals,5,,,POINT (-74.006113 40.7237914)
42423549,40.721087,-73.9747151,motorway_junction,3,5,,POINT (-73.9747151 40.721087)
42423564,40.7589831,-73.9645095,traffic_signals,3,,,POINT (-73.9645095 40.7589831)
42423565,40.7596426,-73.9640002,traffic_signals,4,,,POINT (-73.9640002 40.7596426)
42423579,40.7595738,-73.960551,,3,,,POINT (-73.960551 40.7595738)
42423674,40.766876,-73.979076,traffic_signals,3,,,POINT (-73.979076 40.766876)
42423752,40.7620775,-73.9619964,traffic_signals,4,,,POINT (-73.9619964 40.7620775)
42423774,40.738339,-73.9738156,,3,,,POINT (-73.9738156 40.738339)
42423832,40.7587817,-73.998505,,3,,,POINT (-73.998505 40.7587817)
42423836,40.7593876,-73.9969538,,3,,,POINT (-73.9969538 40.7593876)
42423847,40.7588687,-73.9992001,,3,,,POINT (-73.9992001 40.7588687)
42423885,40.7577433,-73.9968456,traffic_signals,4,,,POINT (-73.9968456 40.7577433)
42424025,40.7828748,-73.9437833,traffic_signals,5,,,POINT (-73.9437833 40.7828748)
42424032,40.780311,-73.9856862,traffic_signals,3,,,POINT (-73.9856862 40.780311)
42424089,40.7606212,-73.9643559,traffic_signals,5,,,POINT (-73.9643559 40.7606212)
42424142,40.769641,-73.9484005,,3,,,POINT (-73.9484005 40.769641)
42424145,40.7687032,-73.9491341,,3,,,POINT (-73.9491341 40.7687032)
42424225,40.7794865,-73.9735934,traffic_signals,3,,,POINT (-73.9735934 40.7794865)
42424408,40.7219848,-74.0082309,traffic_signals,4,,,POINT (-74.0082309 40.7219848)
42424610,40.7206149,-74.0084726,traffic_signals,5,,,POINT (-74.0084726 40.7206149)
42424641,40.7146195,-73.9768477,stop,3,,,POINT (-73.9768477 40.7146195)
42424672,40.7593001,-73.9592658,traffic_signals,4,,,POINT (-73.9592658 40.7593001)
42424789,40.7576654,-73.9948115,traffic_signals,4,,,POINT (-73.9948115 40.7576654)
42424864,40.7244039,-74.005932,traffic_signals,3,,,POINT (-74.005932 40.7244039)
42425100,40.715649,-73.977917,,3,,,POINT (-73.977917 40.715649)
42425955,40.7143955,-74.0005026,traffic_signals,3,,,POINT (-74.0005026 40.7143955)
42426060,40.7239092,-74.0075216,,3,,,POINT (-74.0075216 40.7239092)
42426418,40.7602431,-73.9515065,,3,,,POINT (-73.9515065 40.7602431)
42426816,40.7472995,-73.9758338,,4,,,POINT (-73.9758338 40.7472995)
42426851,40.74693,-73.9692725,,3,,,POINT (-73.9692725 40.74693)
42426865,40.7374172,-73.974504,motorway_junction,3,7,,POINT (-73.974504 40.7374172)
42426875,40.7369776,-73.9749044,,3,,,POINT (-73.9749044 40.7369776)
42427030,40.7652696,-73.9521462,,3,,,POINT (-73.9521462 40.7652696)
42427036,40.7665323,-73.9510157,,3,,,POINT (-73.9510157 40.7665323)
42427070,40.7566077,-73.9558339,,3,,,POINT (-73.9558339 40.7566077)
42427278,40.7135883,-74.0035657,traffic_signals,3,,,POINT (-74.0035657 40.7135883)
42427300,40.7151561,-74.0021038,traffic_signals,4,,,POINT (-74.0021038 40.7151561)
42427305,40.7157492,-74.0016779,traffic_signals,4,,,POINT (-74.0016779 40.7157492)
42427307,40.7169298,-74.0008126,,3,,,POINT (-74.0008126 40.7169298)
