osmid,y,x,street_count,highway,junction,railway,geometry
360930,48.8263456,2.3614982,3,,,,POINT (2.3614982 48.8263456)
360932,48.8261825,2.3572608,4,traffic_signals,,,POINT (2.3572608 48.8261825)
360935,48.8258123,2.3503781,5,traffic_signals,,,POINT (2.3503781 48.8258123)
360937,48.825757,2.3465869,4,traffic_signals,,,POINT (2.3465869 48.825757)
360938,48.8259416,2.3452101,4,traffic_signals,,,POINT (2.3452101 48.8259416)
360946,48.8292991,2.3226525,4,traffic_signals,,,POINT (2.3226525 48.8292991)
360977,48.8305326,2.319263,5,traffic_signals,,,POINT (2.319263 48.8305326)
360978,48.8318162,2.3141451,4,traffic_signals,,,POINT (2.3141451 48.8318162)
360980,48.8335638,2.3092306,4,,yes,,POINT (2.3092306 48.8335638)
360982,48.8372138,2.2964732,4,,,,POINT (2.2964732 48.8372138)
360983,48.8392633,2.2919595,4,,,,POINT (2.2919595 48.8392633)
361031,48.8474723,2.3655296,4,traffic_signals,,,POINT (2.3655296 48.8474723)
361036,48.8487894,2.3679988,3,traffic_signals,,,POINT (2.3679988 48.8487894)
361041,48.8386035,2.3507305,3,,,,POINT (2.3507305 48.8386035)
361042,48.8380175,2.3510175,4,,,,POINT (2.3510175 48.8380175)
361043,48.8332121,2.3543465,3,,,,POINT (2.3543465 48.8332121)
361044,48.8331727,2.3567612,4,,,,POINT (2.3567612 48.8331727)
361045,48.8365766,2.3592953,5,traffic_signals,,,POINT (2.3592953 48.8365766)
361047,48.84166,2.3519793,3,traffic_signals,,,POINT (2.3519793 48.84166)
361048,48.8396902,2.3512679,3,traffic_signals,,,POINT (2.3512679 48.8396902)
361050,48.8466037,2.3516349,4,traffic_signals,,,POINT (2.3516349 48.8466037)
361058,48.8266453,2.363724,4,,,,POINT (2.363724 48.8266453)
361059,48.8471299,2.3512394,4,,,,POINT (2.3512394 48.8471299)
361060,48.8480778,2.3505051,4,traffic_signals,,,POINT (2.3505051 48.8480778)
361062,48.8523487,2.3482382,3,traffic_signals,,,POINT (2.3482382 48.8523487)
361068,48.8560699,2.3507047,4,,,,POINT (2.3507047 48.8560699)
361070,48.857491,2.351447,3,traffic_signals,,,POINT (2.351447 48.857491)
361074,48.8612278,2.3534869,3,traffic_signals,,,POINT (2.3534869 48.8612278)
361075,48.8627221,2.3542782,3,traffic_signals,,,POINT (2.3542782 48.8627221)
361084,48.8685611,2.3630587,3,,,,POINT (2.3630587 48.8685611)
361091,48.8748138,2.3573832,4,,,,POINT (2.3573832 48.8748138)
361094,48.8689741,2.3557506,3,,,,POINT (2.3557506 48.8689741)
361096,48.8696795,2.3526101,3,,,,POINT (2.3526101 48.8696795)
361098,48.8706817,2.3478935,3,traffic_signals,,,POINT (2.3478935 48.8706817)
361100,48.8763653,2.3560333,4,traffic_signals,,,POINT (2.3560333 48.8763653)
361102,48.8785122,2.3540762,4,,yes,,POINT (2.3540762 48.8785122)
361103,48.8804947,2.3523043,6,,yes,,POINT (2.3523043 48.8804947)
361104,48.8719982,2.3400527,4,traffic_signals,,,POINT (2.3400527 48.8719982)
361105,48.8722422,2.3382998,4,traffic_signals,,,POINT (2.3382998 48.8722422)
361106,48.8729396,2.3332569,5,,,,POINT (2.3332569 48.8729396)
361108,48.8742709,2.3313146,3,traffic_signals,,,POINT (2.3313146 48.8742709)
361109,48.8742988,2.3327119,4,,,,POINT (2.3327119 48.8742988)
361110,48.8761423,2.3311152,3,traffic_signals,,,POINT (2.3311152 48.8761423)
361112,48.8838548,2.3494771,4,traffic_signals,,,POINT (2.3494771 48.8838548)
361114,48.8884009,2.3479972,5,traffic_signals,,,POINT (2.3479972 48.8884009)
361116,48.8836693,2.3274926,3,traffic_signals,,,POINT (2.3274926 48.8836693)
361117,48.884677,2.3294977,5,,,,POINT (2.3294977 48.884677)
361118,48.8874889,2.333377,3,traffic_signals,,,POINT (2.333377 48.8874889)
361120,48.8857991,2.3288483,3,,,,POINT (2.3288483 48.8857991)
361125,48.8900588,2.3292811,4,,,,POINT (2.3292811 48.8900588)
361704,48.8261632,2.3599616,5,traffic_signals,,,POINT (2.3599616 48.8261632)
361705,48.8284715,2.3581077,3,traffic_signals,,,POINT (2.3581077 48.8284715)
361706,48.8308507,2.3562364,4,,,,POINT (2.3562364 48.8308507)
361709,48.8318236,2.3553078,3,,,,POINT (2.3553078 48.8318236)
361711,48.8313868,2.3549184,3,,,,POINT (2.3549184 48.8313868)
361712,48.8311089,2.3551269,3,,,,POINT (2.3551269 48.8311089)
361715,48.8318326,2.3558099,4,traffic_signals,,,POINT (2.3558099 48.8318326)
361721,48.8311607,2.356095,4,,,,POINT (2.356095 48.8311607)
361726,48.8303757,2.3527614,4,traffic_signals,,,POINT (2.3527614 48.8303757)
361729,48.8306421,2.3526433,4,traffic_signals,,,POINT (2.3526433 48.8306421)
361730,48.8311993,2.3543524,4,traffic_signals,,,POINT (2.3543524 48.8311993)
361731,48.8317002,2.3543662,3,,,,POINT (2.3543662 48.8317002)
361732,48.8319405,2.3534547,3,,,,POINT (2.3534547 48.8319405)
361733,48.8322202,2.3550299,3,crossing,,,POINT (2.3550299 48.8322202)
361735,48.8313954,2.3581678,4,,,,POINT (2.3581678 48.8313954)
361736,48.8319952,2.3599732,3,,,,POINT (2.3599732 48.8319952)
361737,48.8316928,2.3579432,3,traffic_signals;crossing,,,POINT (2.3579432 48.8316928)
361738,48.8313462,2.3568698,3,traffic_signals,,,POINT (2.3568698 48.8313462)
361739,48.8318007,2.3567167,3,,,,POINT (2.3567167 48.8318007)
361740,48.8322174,2.356064,3,traffic_signals;crossing,,,POINT (2.356064 48.8322174)
361741,48.8318213,2.3582931,3,traffic_signals,,,POINT (2.3582931 48.8318213)
361742,48.8320341,2.3589539,3,traffic_signals,,,POINT (2.3589539 48.8320341)
361744,48.8321859,2.3584104,3,,,,POINT (2.3584104 48.8321859)
361745,48.8320004,2.3584149,3,,,,POINT (2.3584149 48.8320004)
361747,48.8328074,2.3564892,4,traffic_signals,,,POINT (2.3564892 48.8328074)
361748,48.8325125,2.3588028,2,,,,POINT (2.3588028 48.8325125)
361752,48.8328501,2.3555283,3,,,,POINT (2.3555283 48.8328501)
361753,48.833208,2.3555425,4,,,,POINT (2.3555425 48.833208)
366594,48.8270179,2.3664849,4,traffic_signals,,,POINT (2.3664849 48.8270179)
