osmid,y,x,highway,street_count,ref,geometry
876560967,-23.2191028,-45.9103038,traffic_signals,4,,POINT (-45.9103038 -23.2191028)
876561059,-23.2185167,-45.9106397,,3,,POINT (-45.9106397 -23.2185167)
884411098,-23.2058738,-45.9061609,traffic_signals,5,,POINT (-45.9061609 -23.2058738)
943022725,-23.218965,-45.9107462,,3,,POINT (-45.9107462 -23.218965)
943022745,-23.2185257,-45.9102396,,4,,POINT (-45.9102396 -23.2185257)
1102127919,-23.2104235,-45.8893561,,3,,POINT (-45.8893561 -23.2104235)
1102127925,-23.2141884,-45.8862346,,3,,POINT (-45.8862346 -23.2141884)
1102127943,-23.2131002,-45.8864307,,4,,POINT (-45.8864307 -23.2131002)
1102127944,-23.2095077,-45.8883745,,3,,POINT (-45.8883745 -23.2095077)
1102127945,-23.2085438,-45.8873311,,3,,POINT (-45.8873311 -23.2085438)
1102127950,-23.216962,-45.8831093,,3,,POINT (-45.8831093 -23.216962)
1102127952,-23.2166521,-45.882432,,3,,POINT (-45.882432 -23.2166521)
1102127957,-23.2089926,-45.8878137,,3,,POINT (-45.8878137 -23.2089926)
1102127960,-23.2135545,-45.8869167,,4,,POINT (-45.8869167 -23.2135545)
1102127967,-23.2161424,-45.8842107,,3,,POINT (-45.8842107 -23.2161424)
1102127972,-23.2121923,-45.8854322,,4,,POINT (-45.8854322 -23.2121923)
1102127996,-23.2167704,-45.8835109,,3,,POINT (-45.8835109 -23.2167704)
1102128010,-23.2158295,-45.8844874,,4,,POINT (-45.8844874 -23.2158295)
1102128028,-23.2116893,-45.8889712,,3,,POINT (-45.8889712 -23.2116893)
1102128034,-23.2151479,-45.885213,,4,,POINT (-45.885213 -23.2151479)
1102128035,-23.2119066,-45.8887402,,3,,POINT (-45.8887402 -23.2119066)
1102128037,-23.2158435,-45.8819337,,3,,POINT (-45.8819337 -23.2158435)
1102128041,-23.2126502,-45.8859325,,4,,POINT (-45.8859325 -23.2126502)
1261491124,-23.204638,-45.9053731,,3,,POINT (-45.9053731 -23.204638)
1316121050,-23.2211344,-45.8843166,traffic_signals,4,,POINT (-45.8843166 -23.2211344)
1316430568,-23.2210008,-45.8928592,,3,,POINT (-45.8928592 -23.2210008)
1316430608,-23.2216254,-45.8944068,,3,,POINT (-45.8944068 -23.2216254)
1316430641,-23.2191329,-45.8925558,traffic_signals,4,,POINT (-45.8925558 -23.2191329)
1316430667,-23.2202195,-45.8937188,,3,,POINT (-45.8937188 -23.2202195)
1316430674,-23.2204511,-45.8957105,,3,,POINT (-45.8957105 -23.2204511)
1316430775,-23.2195214,-45.8921409,,3,,POINT (-45.8921409 -23.2195214)
1316430801,-23.2183209,-45.8934317,,3,,POINT (-45.8934317 -23.2183209)
1316430810,-23.2212289,-45.8948263,,3,,POINT (-45.8948263 -23.2212289)
1316610402,-23.2208582,-45.8961332,,3,,POINT (-45.8961332 -23.2208582)
1316610403,-23.2213515,-45.8956177,,3,,POINT (-45.8956177 -23.2213515)
1316610416,-23.2209675,-45.8968969,,3,,POINT (-45.8968969 -23.2209675)
1316610426,-23.2202007,-45.8968471,,4,,POINT (-45.8968471 -23.2202007)
1319578438,-23.2204879,-45.8850364,,3,,POINT (-45.8850364 -23.2204879)
1319578517,-23.2210113,-45.8861064,mini_roundabout,3,,POINT (-45.8861064 -23.2210113)
1319578525,-23.2206591,-45.8848365,traffic_signals,3,,POINT (-45.8848365 -23.2206591)
1319578530,-23.218308,-45.8890313,mini_roundabout,3,,POINT (-45.8890313 -23.218308)
1319578539,-23.2194628,-45.8871559,,3,,POINT (-45.8871559 -23.2194628)
1319578577,-23.2193084,-45.8873374,,3,,POINT (-45.8873374 -23.2193084)
1319578620,-23.2194641,-45.8902625,mini_roundabout,3,,POINT (-45.8902625 -23.2194641)
1319578667,-23.2204584,-45.8892482,,3,,POINT (-45.8892482 -23.2204584)
1319578678,-23.2207271,-45.8850899,,3,,POINT (-45.8850899 -23.2207271)
1319578684,-23.219282,-45.8879336,,3,,POINT (-45.8879336 -23.219282)
1319578690,-23.2199418,-45.8871559,,3,,POINT (-45.8871559 -23.2199418)
1319587385,-23.2199496,-45.8798304,,1,,POINT (-45.8798304 -23.2199496)
1319587390,-23.2204303,-45.8793729,,3,,POINT (-45.8793729 -23.2204303)
1319602663,-23.2129042,-45.884649,,4,,POINT (-45.884649 -23.2129042)
1319602669,-23.2117208,-45.8849256,,3,,POINT (-45.8849256 -23.2117208)
1319602677,-23.2133459,-45.8851873,,4,,POINT (-45.8851873 -23.2133459)
1319602682,-23.2137648,-45.8857141,,4,,POINT (-45.8857141 -23.2137648)
1319602691,-23.2123539,-45.8838933,,3,,POINT (-45.8838933 -23.2123539)
1319602694,-23.2124877,-45.8840724,,4,,POINT (-45.8840724 -23.2124877)
1319614078,-23.2100542,-45.886738,,4,,POINT (-45.886738 -23.2100542)
1319614079,-23.2114531,-45.8882519,,4,,POINT (-45.8882519 -23.2114531)
1319614089,-23.2109912,-45.887751,,4,,POINT (-45.887751 -23.2109912)
1319614097,-23.2119033,-45.886762,,4,,POINT (-45.886762 -23.2119033)
1319614098,-23.2147252,-45.8846678,,4,,POINT (-45.8846678 -23.2147252)
1319614101,-23.2150481,-45.8833218,,3,,POINT (-45.8833218 -23.2150481)
1319614102,-23.2122793,-45.8873442,,4,,POINT (-45.8873442 -23.2122793)
1319614103,-23.2115025,-45.8862021,,3,,POINT (-45.8862021 -23.2115025)
1319614108,-23.2154536,-45.8839267,,3,,POINT (-45.8839267 -23.2154536)
1319614112,-23.2126937,-45.8878714,,3,,POINT (-45.8878714 -23.2126937)
1321953427,-23.2140324,-45.8897746,,3,,POINT (-45.8897746 -23.2140324)
1323522361,-23.2254452,-45.8739676,,3,,POINT (-45.8739676 -23.2254452)
1323522362,-23.2198786,-45.8788262,,3,,POINT (-45.8788262 -23.2198786)
1323522367,-23.2159867,-45.8820798,,4,,POINT (-45.8820798 -23.2159867)
1323522382,-23.2166743,-45.8856886,,3,,POINT (-45.8856886 -23.2166743)
1323522391,-23.2148154,-45.8829747,,4,,POINT (-45.8829747 -23.2148154)
1324812724,-23.2190082,-45.8871644,,3,,POINT (-45.8871644 -23.2190082)
1324812731,-23.2192592,-45.8863816,,3,,POINT (-45.8863816 -23.2192592)
1324812738,-23.2185101,-45.8872189,,3,,POINT (-45.8872189 -23.2185101)
1357607206,-23.2099613,-45.8888626,,3,,POINT (-45.8888626 -23.2099613)
1357608019,-23.2107115,-45.8848381,,3,,POINT (-45.8848381 -23.2107115)
1357608020,-23.2130112,-45.8836174,,3,,POINT (-45.8836174 -23.2130112)
1357608022,-23.211587,-45.8861038,,3,,POINT (-45.8861038 -23.211587)
1357608024,-23.2111672,-45.8865851,,3,,POINT (-45.8865851 -23.2111672)
1357608034,-23.2111657,-45.8854965,,3,,POINT (-45.8854965 -23.2111657)
1411279769,-23.218048,-45.8875194,,4,,POINT (-45.8875194 -23.218048)
1411279779,-23.2158718,-45.8898555,traffic_signals,4,,POINT (-45.8898555 -23.2158718)
1411359755,-23.2154961,-45.8899556,,3,,POINT (-45.8899556 -23.2154961)
1411359761,-23.2175707,-45.8876907,,3,,POINT (-45.8876907 -23.2175707)
1411359767,-23.2177176,-45.8878836,,3,,POINT (-45.8878836 -23.2177176)
1411359768,-23.2191483,-45.8863186,,3,,POINT (-45.8863186 -23.2191483)
1411359769,-23.2188041,-45.8864083,,3,,POINT (-45.8864083 -23.2188041)
1411359775,-23.2189212,-45.886547,,3,,POINT (-45.886547 -23.2189212)
1411359788,-23.2196243,-45.8846167,,3,,POINT (-45.8846167 -23.2196243)
1411369693,-23.2165386,-45.8876438,,3,,POINT (-45.8876438 -23.2165386)
1411369699,-23.2164286,-45.8871869,,3,,POINT (-45.8871869 -23.2164286)
1411369758,-23.2169578,-45.8878416,,3,,POINT (-45.8878416 -23.2169578)
1411374839,-23.2181363,-45.887608,,3,,POINT (-45.887608 -23.2181363)
1411374852,-23.2173488,-45.8885056,,3,,POINT (-45.8885056 -23.2173488)
1411374853,-23.217407,-45.8887922,,3,,POINT (-45.8887922 -23.217407)
1411374858,-23.2171718,-45.8886984,,3,,POINT (-45.8886984 -23.2171718)
1411374864,-23.2201206,-45.8840298,,3,,POINT (-45.8840298 -23.2201206)
1411377957,-23.2208864,-45.8840466,,3,,POINT (-45.8840466 -23.2208864)
1411377963,-23.2210989,-45.8841833,traffic_signals,4,,POINT (-45.8841833 -23.2210989)
1411482884,-23.220742,-45.8790659,,3,,POINT (-45.8790659 -23.220742)
1411482885,-23.2203107,-45.878465,,3,,POINT (-45.878465 -23.2203107)
1411482886,-23.2211256,-45.878592,,3,,POINT (-45.878592 -23.2211256)
1411482887,-23.2207495,-45.8780814,,3,,POINT (-45.8780814 -23.2207495)
1411482888,-23.221201,-45.8777022,,3,,POINT (-45.8777022 -23.221201)
1411536681,-23.2151519,-45.8827849,,4,,POINT (-45.8827849 -23.2151519)
1411536706,-23.2155466,-45.8833461,,4,,POINT (-45.8833461 -23.2155466)
1411536715,-23.2152388,-45.8836066,,3,,POINT (-45.8836066 -23.2152388)
1411536743,-23.2159533,-45.8830018,,3,,POINT (-45.8830018 -23.2159533)
1411536761,-23.2166203,-45.8834134,,3,,POINT (-45.8834134 -23.2166203)
1411546532,-23.2158327,-45.8861432,,3,,POINT (-45.8861432 -23.2158327)
1411546536,-23.2160029,-45.8864233,,3,,POINT (-45.8864233 -23.2160029)
1411546541,-23.2164955,-45.8864982,,3,,POINT (-45.8864982 -23.2164955)
1411546557,-23.2159862,-45.8870506,,3,,POINT (-45.8870506 -23.2159862)
1411546560,-23.2177985,-45.8851616,,3,,POINT (-45.8851616 -23.2177985)
1411546566,-23.2143517,-45.8887481,,3,,POINT (-45.8887481 -23.2143517)
1411546567,-23.2128977,-45.890407,,3,,POINT (-45.890407 -23.2128977)
1411546581,-23.2178249,-45.8832725,,1,,POINT (-45.8832725 -23.2178249)
1411546584,-23.2161807,-45.8850113,,3,,POINT (-45.8850113 -23.2161807)
1413177637,-23.2164394,-45.8815444,,3,,POINT (-45.8815444 -23.2164394)
1413177682,-23.2097317,-45.8854702,,3,,POINT (-45.8854702 -23.2097317)
1413177720,-23.2191864,-45.8791609,,3,,POINT (-45.8791609 -23.2191864)
1413355844,-23.2080979,-45.8863835,,4,,POINT (-45.8863835 -23.2080979)
1413377942,-23.2143347,-45.8860701,,3,,POINT (-45.8860701 -23.2143347)
1413377961,-23.2130339,-45.8880826,,1,,POINT (-45.8880826 -23.2130339)
1413377970,-23.2138491,-45.8872198,,3,,POINT (-45.8872198 -23.2138491)
1413377983,-23.2113661,-45.8902757,,1,,POINT (-45.8902757 -23.2113661)
1413377986,-23.2118718,-45.8896976,,3,,POINT (-45.8896976 -23.2118718)
1418085356,-23.1992197,-45.9129656,,4,,POINT (-45.9129656 -23.1992197)
1418085359,-23.2052861,-45.9065936,traffic_signals,4,,POINT (-45.9065936 -23.2052861)
1418085382,-23.2060368,-45.9065491,,3,,POINT (-45.9065491 -23.2060368)
1418085411,-23.2070318,-45.9076585,,3,,POINT (-45.9076585 -23.2070318)
1418085431,-23.2047504,-45.906117,traffic_signals,4,,POINT (-45.906117 -23.2047504)
1418085434,-23.2046187,-45.9056247,,3,,POINT (-45.9056247 -23.2046187)
1418085441,-23.2060633,-45.9059304,,3,,POINT (-45.9059304 -23.2060633)
1418085453,-23.2059848,-45.9061112,,4,,POINT (-45.9061112 -23.2059848)
1418089631,-23.2044096,-45.9064676,,3,,POINT (-45.9064676 -23.2044096)
1418089633,-23.2052656,-45.9057795,,3,,POINT (-45.9057795 -23.2052656)
1418089638,-23.2071435,-45.904486,,3,,POINT (-45.904486 -23.2071435)
1418097505,-23.198725,-45.9125685,traffic_signals,4,,POINT (-45.9125685 -23.198725)
1418097521,-23.2046444,-45.9097304,,4,,POINT (-45.9097304 -23.2046444)
