osmid,y,x,street_count,highway,ref,junction,railway,geometry
629904,43.5737221,1.471414,3,,,,,POINT (1.471414 43.5737221)
629920,43.5723543,1.4567893,3,motorway_junction,23,,,POINT (1.4567893 43.5723543)
630624,43.5990969,1.3974377,3,motorway_junction,,,,POINT (1.3974377 43.5990969)
630627,43.6032239,1.4003835,3,motorway_junction,29,,,POINT (1.4003835 43.6032239)
635170,43.6114491,1.4845689,3,,,,,POINT (1.4845689 43.6114491)
635173,43.6046451,1.4854235,3,motorway_junction,16,,,POINT (1.4854235 43.6046451)
635181,43.5971344,1.492915,3,,,,,POINT (1.492915 43.5971344)
635182,43.591136,1.494197,3,motorway_junction,17,,,POINT (1.494197 43.591136)
636551,43.5723215,1.4611224,3,,,,,POINT (1.4611224 43.5723215)
636647,43.5783193,1.4578321,4,,,,,POINT (1.4578321 43.5783193)
644015,43.5866477,1.4469916,3,traffic_signals,,,,POINT (1.4469916 43.5866477)
644018,43.5920795,1.4446211,3,,,,,POINT (1.4446211 43.5920795)
644021,43.5841026,1.4393052,4,,,,,POINT (1.4393052 43.5841026)
644022,43.5839023,1.444174,4,,,,,POINT (1.444174 43.5839023)
644046,43.5823884,1.439102,3,,,,,POINT (1.439102 43.5823884)
644057,43.5948257,1.453076,3,traffic_signals,,,,POINT (1.453076 43.5948257)
644071,43.5932472,1.4429452,3,,,,,POINT (1.4429452 43.5932472)
646939,43.5789943,1.4369121,4,,,,,POINT (1.4369121 43.5789943)
646941,43.5773649,1.4364312,4,,,,,POINT (1.4364312 43.5773649)
646948,43.5718188,1.4388151,4,,,,,POINT (1.4388151 43.5718188)
647888,43.584984,1.4283383,3,,,,,POINT (1.4283383 43.584984)
648229,43.5707124,1.4362578,2,,,,,POINT (1.4362578 43.5707124)
648255,43.5737907,1.437974,3,,,,,POINT (1.437974 43.5737907)
648269,43.5774806,1.434362,3,,,,,POINT (1.434362 43.5774806)
648318,43.585682,1.4378433,3,,,,,POINT (1.4378433 43.585682)
648394,43.5878117,1.436859,3,,,,,POINT (1.436859 43.5878117)
648442,43.5928755,1.4347698,3,,,,,POINT (1.4347698 43.5928755)
648451,43.5951474,1.4328439,3,,,,,POINT (1.4328439 43.5951474)
648547,43.5977489,1.430659,3,,,,,POINT (1.430659 43.5977489)
701753,43.5966583,1.4527615,3,,,,,POINT (1.4527615 43.5966583)
701760,43.6003514,1.4522048,3,,,,,POINT (1.4522048 43.6003514)
701786,43.5873454,1.4596716,3,,,,,POINT (1.4596716 43.5873454)
6535257,43.6250948,1.4111134,3,,,,,POINT (1.4111134 43.6250948)
6535280,43.6248409,1.4139367,3,motorway_junction,,,,POINT (1.4139367 43.6248409)
6535286,43.6236001,1.4188656,3,,,,,POINT (1.4188656 43.6236001)
6536300,43.6237718,1.4186634,3,,,,,POINT (1.4186634 43.6237718)
8010648,43.5935453,1.4829472,3,,,,,POINT (1.4829472 43.5935453)
8010656,43.5946312,1.4784128,3,,,,,POINT (1.4784128 43.5946312)
8010664,43.5917317,1.4789486,4,,,,,POINT (1.4789486 43.5917317)
8010671,43.5911278,1.4805869,1,,,,,POINT (1.4805869 43.5911278)
8010682,43.5898305,1.4887665,3,,,,,POINT (1.4887665 43.5898305)
8010683,43.5900051,1.4894501,3,,,,,POINT (1.4894501 43.5900051)
8010685,43.5904841,1.4903472,3,,,,,POINT (1.4903472 43.5904841)
8010690,43.5906349,1.4906749,3,,,,,POINT (1.4906749 43.5906349)
8010693,43.5903259,1.4907226,3,,,,,POINT (1.4907226 43.5903259)
8010694,43.590306,1.4905092,3,,,,,POINT (1.4905092 43.590306)
8010703,43.5948202,1.4882871,3,,,,,POINT (1.4882871 43.5948202)
8010704,43.594463,1.4881367,3,,,,,POINT (1.4881367 43.594463)
8010708,43.5951566,1.4843507,3,,,,,POINT (1.4843507 43.5951566)
8078333,43.5895248,1.4786378,3,,,,,POINT (1.4786378 43.5895248)
8078337,43.589337,1.4785536,3,,,,,POINT (1.4785536 43.589337)
8078338,43.589305,1.4786379,3,,,,,POINT (1.4786379 43.589305)
8078339,43.5894849,1.4787835,3,,,,,POINT (1.4787835 43.5894849)
8078340,43.5893553,1.4787937,3,,,,,POINT (1.4787937 43.5893553)
8078341,43.5885221,1.4792447,3,,,,,POINT (1.4792447 43.5885221)
8078345,43.5849946,1.4852397,4,,,,,POINT (1.4852397 43.5849946)
8078349,43.5813866,1.4895071,4,,,,,POINT (1.4895071 43.5813866)
8078365,43.5711558,1.4865647,5,,,,,POINT (1.4865647 43.5711558)
8078370,43.5691056,1.4909917,3,,,,,POINT (1.4909917 43.5691056)
8079821,43.569121,1.4911089,3,,,,,POINT (1.4911089 43.569121)
8079823,43.5690283,1.4910559,3,,,,,POINT (1.4910559 43.5690283)
8079825,43.5896605,1.4787848,3,,,,,POINT (1.4787848 43.5896605)
8138456,43.5749836,1.4401075,3,motorway_junction,24,,,POINT (1.4401075 43.5749836)
8138457,43.5732315,1.4377739,3,,,,,POINT (1.4377739 43.5732315)
8138556,43.5689119,1.4218033,3,,,,,POINT (1.4218033 43.5689119)
8704235,43.5963588,1.4783162,4,,,,,POINT (1.4783162 43.5963588)
8704253,43.5967976,1.4773471,3,,,,,POINT (1.4773471 43.5967976)
8704259,43.5971764,1.4791785,3,,,,,POINT (1.4791785 43.5971764)
8704269,43.5996176,1.4786025,3,,,,,POINT (1.4786025 43.5996176)
8704275,43.6006606,1.4666185,4,,,,,POINT (1.4666185 43.6006606)
8704276,43.6008682,1.462516,3,,,,,POINT (1.462516 43.6008682)
8704278,43.6013941,1.4598127,3,,,,,POINT (1.4598127 43.6013941)
8704279,43.6016843,1.4581426,3,,,,,POINT (1.4581426 43.6016843)
8704292,43.5857592,1.4787477,3,,,,,POINT (1.4787477 43.5857592)
8704294,43.584735,1.4785275,4,,,,,POINT (1.4785275 43.584735)
8704297,43.5839859,1.4779157,3,,,,,POINT (1.4779157 43.5839859)
8704302,43.5911467,1.4692655,3,,,,,POINT (1.4692655 43.5911467)
8704304,43.5918084,1.4704876,3,,,,,POINT (1.4704876 43.5918084)
8771497,43.57021,1.4243865,3,,,,,POINT (1.4243865 43.57021)
8771500,43.5699168,1.4243177,3,,,,,POINT (1.4243177 43.5699168)
8771502,43.5699364,1.4246686,3,,,,,POINT (1.4246686 43.5699364)
8771503,43.5700607,1.4247245,3,,,,,POINT (1.4247245 43.5700607)
8771506,43.5701897,1.4246275,3,,,,,POINT (1.4246275 43.5701897)
8771512,43.5689809,1.4244496,3,,,,,POINT (1.4244496 43.5689809)
8771514,43.568994,1.4246922,3,,,,,POINT (1.4246922 43.568994)
8771517,43.5692702,1.4247208,3,,,,,POINT (1.4247208 43.5692702)
8771518,43.5692634,1.42438,3,,,,,POINT (1.42438 43.5692634)
8771520,43.5691921,1.4247886,3,,,,,POINT (1.4247886 43.5691921)
8828955,43.6101216,1.4161184,3,,,,,POINT (1.4161184 43.6101216)
8828968,43.6118109,1.4139396,3,,,,,POINT (1.4139396 43.6118109)
8828971,43.6115376,1.415174,3,,,,,POINT (1.415174 43.6115376)
8831198,43.5960834,1.4539261,3,traffic_signals,,,,POINT (1.4539261 43.5960834)
8831215,43.6050307,1.4566131,4,,,,,POINT (1.4566131 43.6050307)
8831747,43.6063631,1.4559119,4,,,,,POINT (1.4559119 43.6063631)
8831749,43.6091913,1.4539927,4,,,,,POINT (1.4539927 43.6091913)
8831750,43.609291,1.453855,4,,,,,POINT (1.453855 43.609291)
8831755,43.6137394,1.4504971,4,,,,,POINT (1.4504971 43.6137394)
8831756,43.6159984,1.453122,4,,,,,POINT (1.453122 43.6159984)
8831759,43.6149402,1.4558943,4,mini_roundabout,,,,POINT (1.4558943 43.6149402)
8831761,43.6119364,1.4563264,3,,,,,POINT (1.4563264 43.6119364)
8831766,43.6102322,1.454966,3,,,,,POINT (1.454966 43.6102322)
8831769,43.6094748,1.4543622,4,,,,,POINT (1.4543622 43.6094748)
8832201,43.6010014,1.4567035,3,,,,,POINT (1.4567035 43.6010014)
9015849,43.5847916,1.4617201,3,,,,,POINT (1.4617201 43.5847916)
9015852,43.5812516,1.4637224,3,,,,,POINT (1.4637224 43.5812516)
9015862,43.575536,1.4676428,3,,,,,POINT (1.4676428 43.575536)
9015875,43.5722594,1.4758086,3,,,,,POINT (1.4758086 43.5722594)
9015877,43.5718499,1.4756133,3,,,,,POINT (1.4756133 43.5718499)
9015879,43.5712966,1.4746716,3,,,,,POINT (1.4746716 43.5712966)
9015880,43.5711878,1.4748776,3,,,,,POINT (1.4748776 43.5711878)
9015883,43.5710161,1.4744153,3,,,,,POINT (1.4744153 43.5710161)
9015885,43.5709248,1.4745901,3,,,,,POINT (1.4745901 43.5709248)
9015886,43.5722402,1.4755376,3,,,,,POINT (1.4755376 43.5722402)
9015887,43.5718798,1.4758701,3,,,,,POINT (1.4758701 43.5718798)
9015889,43.5732172,1.4724583,3,motorway_junction,21,,,POINT (1.4724583 43.5732172)
9015890,43.5725251,1.4736884,3,,,,,POINT (1.4736884 43.5725251)
9104020,43.6261253,1.4111459,3,,,,,POINT (1.4111459 43.6261253)
9104032,43.6231927,1.4048305,3,,,,,POINT (1.4048305 43.6231927)
9104043,43.5973158,1.4804218,4,,,,,POINT (1.4804218 43.5973158)
9104046,43.597476,1.4816092,3,,,,,POINT (1.4816092 43.597476)
9104049,43.5943491,1.4808176,3,,,,,POINT (1.4808176 43.5943491)
9104050,43.5940255,1.4816795,4,,,,,POINT (1.4816795 43.5940255)
9104059,43.5937015,1.4926375,3,,,,,POINT (1.4926375 43.5937015)
