osmid,y,x,street_count,highway,ref,junction,geometry
122129029,37.720741,-97.345992,3,,,,POINT (-97.345992 37.720741)
122129042,37.7225561,-97.3459713,4,,,,POINT (-97.3459713 37.7225561)
122130405,37.6858632,-97.3419568,4,traffic_signals,,,POINT (-97.3419568 37.6858632)
122130418,37.687936,-97.3420075,4,traffic_signals,,,POINT (-97.3420075 37.687936)
122130452,37.691583,-97.34203,4,traffic_signals,,,POINT (-97.34203 37.691583)
122130459,37.6925035,-97.3420453,3,,,,POINT (-97.3420453 37.6925035)
122130475,37.6938568,-97.3418972,3,,,,POINT (-97.3418972 37.6938568)
122130523,37.6975197,-97.3416341,4,traffic_signals,,,POINT (-97.3416341 37.6975197)
122130527,37.6979334,-97.3419347,3,,,,POINT (-97.3419347 37.6979334)
122130531,37.6988709,-97.3419981,3,,,,POINT (-97.3419981 37.6988709)
122130537,37.700262,-97.341974,3,,,,POINT (-97.341974 37.700262)
122130543,37.701231,-97.341978,3,,,,POINT (-97.341978 37.701231)
122130551,37.702541,-97.341982,4,,,,POINT (-97.341982 37.702541)
122130555,37.70438,-97.341985,4,,,,POINT (-97.341985 37.70438)
122130559,37.706223,-97.341981,4,,,,POINT (-97.341981 37.706223)
122130563,37.708024,-97.341977,4,traffic_signals,,,POINT (-97.341977 37.708024)
122130567,37.709835,-97.341973,4,,,,POINT (-97.341973 37.709835)
122130569,37.710705,-97.341971,3,,,,POINT (-97.341971 37.710705)
122130577,37.711648,-97.341969,4,,,,POINT (-97.341969 37.711648)
122130584,37.71347,-97.341968,4,,,,POINT (-97.341968 37.71347)
122130595,37.715286,-97.341967,4,,,,POINT (-97.341967 37.715286)
122130603,37.717111,-97.341992,4,,,,POINT (-97.341992 37.717111)
122130606,37.718936,-97.342003,4,,,,POINT (-97.342003 37.718936)
122130620,37.720751,-97.342,4,,,,POINT (-97.342 37.720751)
122130628,37.722581,-97.342014,3,traffic_signals,,,POINT (-97.342014 37.722581)
122130808,37.678418,-97.322381,3,,,,POINT (-97.322381 37.678418)
